time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56282.0,B,,,0.025,,15.987,Vega,Konkoly,1,,MJD,
56282.0,I,,,0.023,,15.682,Vega,Konkoly,1,,MJD,
56282.0,R,,,0.021,,15.729,Vega,Konkoly,1,,MJD,
56282.0,V,,,0.013,,15.839,Vega,Konkoly,1,,MJD,
56282.336,r,,,,,15.617,,Swope,2,,MJD,
56282.339,i,,,,,15.935,,Swope,2,,MJD,
56282.342,u,,,,,16.868,,Swope,2,,MJD,
56282.345,g,,,,,15.610,,Swope,2,,MJD,
56282.347,V-9844,,,,,15.534,,Swope,2,,MJD,
56282.348,B,,,,,15.737,,Swope,2,,MJD,
56282.60,,,5.0,,4.0,,,,3,µJy,MJD,
56282.7605,V,,,0.057,,15.620,Vega,Swift,6,,MJD,
56282.7790,UVW1,,,0.084,,17.665,Vega,Swift,6,,MJD,
56282.7818,U,,,0.061,,16.017,Vega,Swift,6,,MJD,
56282.7837,B,,,0.055,,15.633,Vega,Swift,6,,MJD,
56282.7855,UVW2,,,0.185,,19.289,Vega,Swift,6,,MJD,
56283.0,B,,,0.028,,15.370,Vega,Konkoly,1,,MJD,
56283.0,I,,,0.022,,15.163,Vega,Konkoly,1,,MJD,
56283.0,R,,,0.023,,15.220,Vega,Konkoly,1,,MJD,
56283.0,V,,,0.014,,15.351,Vega,Konkoly,1,,MJD,
56283.335,B,,,,,15.258,,Swope,2,,MJD,
56283.337,V-9844,,,,,15.112,,Swope,2,,MJD,
56283.340,u,,,,,16.102,,Swope,2,,MJD,
56283.343,g,,,,,15.104,,Swope,2,,MJD,
56283.345,r,,,,,15.119,,Swope,2,,MJD,
56283.347,i,,,,,15.402,,Swope,2,,MJD,
56284.319,Y,,,,,14.627,,DuPont,2,,MJD,
56284.335,H,,,,,14.568,,DuPont,2,,MJD,
56284.342,J,,,,,14.555,,Swope,2,,MJD,
56285.07,I,Johnson,,0.01,,14.75,AB,NTT,5,,MJD,
56285.07,R,Johnson,,0.02,,14.45,AB,NTT,5,,MJD,
56285.327,B,,,,,14.405,,Swope,2,,MJD,
56285.329,V-9844,,,,,14.349,,Swope,2,,MJD,
56285.333,g,,,,,14.351,,Swope,2,,MJD,
56285.335,r,,,,,14.399,,Swope,2,,MJD,
56285.337,i,,,,,14.627,,Swope,2,,MJD,
56285.340,u,,,,,15.021,,Swope,2,,MJD,
56285.348,Y,,,,,14.315,,DuPont,2,,MJD,
56285.360,J,,,,,14.219,,Swope,2,,MJD,
56285.364,H,,,,,14.304,,DuPont,2,,MJD,
56285.94,g,,,0.227,,14.182,AB,BART,1,,MJD,
56285.94,i,,,0.087,,14.277,AB,BART,1,,MJD,
56285.94,r,,,0.094,,14.074,AB,BART,1,,MJD,
56286.335,i,,,,,14.346,,Swope,2,,MJD,
56286.337,r,,,,,14.088,,Swope,2,,MJD,
56286.338,g,,,,,14.072,,Swope,2,,MJD,
56286.340,u,,,,,14.629,,Swope,2,,MJD,
56286.342,B,,,,,14.093,,Swope,2,,MJD,
56286.344,V-9844,,,,,14.092,,Swope,2,,MJD,
56286.9747,UVM2,,,0.129,,17.111,Vega,Swift,6,,MJD,
56287.3569,UVW2,,,0.075,,16.544,Vega,Swift,6,,MJD,
56287.359,Y,,,,,13.867,,DuPont,2,,MJD,
56287.370,H,,,,,13.885,,DuPont,2,,MJD,
56287.373,J,,,,,13.805,,Swope,2,,MJD,
56287.3755,UVW1,,,0.050,,14.857,Vega,Swift,6,,MJD,
56287.7927,UVW1,,,0.065,,14.850,Vega,Swift,6,,MJD,
56287.7943,U,,,0.041,,13.347,Vega,Swift,6,,MJD,
56287.7953,B,,,0.041,,13.755,Vega,Swift,6,,MJD,
56287.7973,UVW2,,,0.088,,16.436,Vega,Swift,6,,MJD,
56288.06,R,Johnson,,0.01,,13.69,AB,NTT,5,,MJD,
56288.346,Y,,,,,13.763,,DuPont,2,,MJD,
56288.354,H,,,,,13.751,,DuPont,2,,MJD,
56288.357,J,,,,,13.666,,Swope,2,,MJD,
56289.307,J,,,,,13.554,,Swope,2,,MJD,
56289.312,Y,,,,,13.646,,DuPont,2,,MJD,
56289.312,r,,,,,13.508,,Swope,2,,MJD,
56289.3130,UVW2,,,0.077,,16.206,Vega,Swift,6,,MJD,
56289.314,g,,,,,13.478,,Swope,2,,MJD,
56289.315,H,,,,,13.653,,DuPont,2,,MJD,
56289.317,u,,,,,13.991,,Swope,2,,MJD,
56289.319,g,,,,,13.463,,Swope,2,,MJD,
56289.321,r,,,,,13.526,,Swope,2,,MJD,
56289.322,i,,,,,13.850,,Swope,2,,MJD,
56289.324,V-9844,,,,,13.518,,Swope,2,,MJD,
56289.325,B,,,,,13.501,,Swope,2,,MJD,
56289.3278,UVW2,,,0.075,,16.110,Vega,Swift,6,,MJD,
56289.9284,UVW1,,,0.054,,14.422,Vega,Swift,6,,MJD,
56289.9302,U,,,0.040,,13.015,Vega,Swift,6,,MJD,
56289.9314,B,,,0.040,,13.411,Vega,Swift,6,,MJD,
56289.9343,UVW2,,,0.077,,15.992,Vega,Swift,6,,MJD,
56289.9372,V,,,0.044,,13.442,Vega,Swift,6,,MJD,
56289.9394,UVM2,,,0.089,,16.488,Vega,Swift,6,,MJD,
56290.01,g,,,0.107,,13.508,AB,BART,1,,MJD,
56290.01,i,,,0.062,,13.657,AB,BART,1,,MJD,
56290.01,r,,,0.039,,13.444,AB,BART,1,,MJD,
56290.01,z,,,0.075,,13.867,AB,BART,1,,MJD,
56290.1,B,,,0.020,,13.351,Vega,Konkoly,1,,MJD,
56290.1,I,,,0.013,,13.356,Vega,Konkoly,1,,MJD,
56290.1,R,,,0.014,,13.346,Vega,Konkoly,1,,MJD,
56290.1,V,,,0.009,,13.453,Vega,Konkoly,1,,MJD,
56290.307,g,,,,,13.361,,Swope,2,,MJD,
56290.308,r,,,,,13.414,,Swope,2,,MJD,
56290.309,i,,,,,13.708,,Swope,2,,MJD,
56290.311,u,,,,,13.896,,Swope,2,,MJD,
56290.314,V-9844,,,,,13.395,,Swope,2,,MJD,
56290.315,B,,,,,13.382,,Swope,2,,MJD,
56291.0844,UVW1,,,0.049,,14.379,Vega,Swift,6,,MJD,
56291.0868,U,,,0.040,,12.930,Vega,Swift,6,,MJD,
56291.0884,B,,,0.040,,13.314,Vega,Swift,6,,MJD,
56291.0925,UVW2,,,0.072,,15.947,Vega,Swift,6,,MJD,
56291.0965,V,,,0.042,,13.304,Vega,Swift,6,,MJD,
56291.0993,UVM2,,,0.071,,16.342,Vega,Swift,6,,MJD,
56291.14,g,,,0.151,,13.347,AB,BART,1,,MJD,
56291.14,i,,,0.073,,13.673,AB,BART,1,,MJD,
56291.14,r,,,0.094,,13.375,AB,BART,1,,MJD,
56291.14,z,,,0.107,,13.730,AB,BART,1,,MJD,
56291.309,i,,,,,13.671,,Swope,2,,MJD,
56291.311,i,,,,,13.701,,Swope,2,,MJD,
56291.312,r,,,,,13.329,,Swope,2,,MJD,
56291.313,g,,,,,13.248,,Swope,2,,MJD,
56291.315,u,,,,,13.751,,Swope,2,,MJD,
56291.317,u,,,,,13.777,,Swope,2,,MJD,
56291.319,V-9844,,,,,13.274,,Swope,2,,MJD,
56291.320,B,,,,,13.277,,Swope,2,,MJD,
56291.9840,UVW1,,,0.056,,14.346,Vega,Swift,6,,MJD,
56292.1,B,,,0.019,,13.198,Vega,Konkoly,1,,MJD,
56292.1,I,,,0.016,,13.267,Vega,Konkoly,1,,MJD,
56292.1,R,,,0.015,,13.206,Vega,Konkoly,1,,MJD,
56292.1,V,,,0.009,,13.276,Vega,Konkoly,1,,MJD,
56292.11,g,,,0.147,,13.383,AB,BART,1,,MJD,
56292.11,i,,,0.119,,13.513,AB,BART,1,,MJD,
56292.11,r,,,0.115,,13.250,AB,BART,1,,MJD,
56292.11,z,,,0.126,,13.883,AB,BART,1,,MJD,
56292.291,J,,,,,13.452,,Swope,2,,MJD,
56292.294,Y,,,,,13.503,,DuPont,2,,MJD,
56292.297,H,,,,,13.619,,DuPont,2,,MJD,
56292.326,B,,,,,13.210,,Swope,2,,MJD,
