time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56562.41,clear,,,0.46,,19.74,,kait4,8,,MJD,
56563.50,clear,,,0.40,,19.69,,kait4,8,,MJD,
56579.44,clear,,,0.30,,19.33,,kait4,8,,MJD,
56592.36,clear,,,0.40,,19.34,,kait4,8,,MJD,
56605.42,B,,,0.09,,17.85,,kait4,8,,MJD,
56605.42,I,,,0.14,,17.36,,kait4,8,,MJD,
56605.42,R,,,0.09,,17.58,,kait4,8,,MJD,
56605.42,V,,,0.10,,17.72,,kait4,8,,MJD,
56605.42,clear,,,0.05,,17.47,,kait4,8,,MJD,
56605.8856,UVW2,,,0.124,,17.888,Vega,Swift,2,,MJD,
56605.8880,V,,,,,17.908,Vega,Swift,2,,MJD,True
56605.8936,UVW1,,,0.091,,17.262,Vega,Swift,2,,MJD,
56605.8951,U,,,0.089,,16.886,Vega,Swift,2,,MJD,
56605.8986,UVM2,,,0.080,,17.615,Vega,Swift,2,,MJD,
56605.9160,B,,,0.142,,17.838,Vega,Swift,2,,MJD,
56606.38,clear,,,0.05,,17.43,,kait4,8,,MJD,
56607.43,B,,,0.07,,17.93,,kait4,8,,MJD,
56607.43,I,,,0.08,,17.12,,kait4,8,,MJD,
56607.43,R,,,0.05,,17.45,,kait4,8,,MJD,
56607.43,V,,,0.06,,17.62,,kait4,8,,MJD,
56609.31,B,,,0.14,,18.05,,kait4,8,,MJD,
56609.31,I,,,0.06,,17.02,,kait4,8,,MJD,
56609.31,R,,,0.07,,17.50,,kait4,8,,MJD,
56609.31,V,,,0.07,,17.61,,kait4,8,,MJD,
56609.43,B,,,0.02,,17.90,,nickel2,8,,MJD,
56609.43,I,,,0.02,,17.09,,nickel2,8,,MJD,
56609.43,R,,,0.01,,17.33,,nickel2,8,,MJD,
56609.43,V,,,0.01,,17.61,,nickel2,8,,MJD,
56610.27,I,,,0.24,,17.31,,kait4,8,,MJD,
56610.27,R,,,0.17,,17.49,,kait4,8,,MJD,
56610.27,V,,,0.16,,17.92,,kait4,8,,MJD,
56610.27,clear,,,0.16,,17.68,,kait4,8,,MJD,
56611.31,I,,,0.17,,17.45,,kait4,8,,MJD,
56611.31,R,,,0.15,,17.70,,kait4,8,,MJD,
56611.31,clear,,,0.15,,17.69,,kait4,8,,MJD,
56618.32,I,,,0.10,,17.20,,kait4,8,,MJD,
56618.32,R,,,0.08,,17.50,,kait4,8,,MJD,
56618.32,V,,,0.14,,17.98,,kait4,8,,MJD,
56619.38,I,,,0.24,,17.49,,kait4,8,,MJD,
56619.38,R,,,0.16,,17.76,,kait4,8,,MJD,
56620.36,B,,,0.14,,18.25,,kait4,8,,MJD,
56620.36,I,,,0.07,,16.97,,kait4,8,,MJD,
56620.36,R,,,0.06,,17.33,,kait4,8,,MJD,
56620.36,V,,,0.06,,17.67,,kait4,8,,MJD,
56621.37,B,,,0.10,,18.22,,kait4,8,,MJD,
56621.37,I,,,0.05,,16.96,,kait4,8,,MJD,
56621.37,R,,,0.05,,17.30,,kait4,8,,MJD,
56621.37,V,,,0.06,,17.64,,kait4,8,,MJD,
56621.37,clear,,,0.08,,17.34,,kait4,8,,MJD,
56622.29,B,,,0.03,,18.32,,nickel2,8,,MJD,
56622.29,I,,,0.10,,17.32,,nickel2,8,,MJD,
56622.29,R,,,0.04,,17.33,,nickel2,8,,MJD,
56622.29,V,,,0.03,,17.75,,nickel2,8,,MJD,
56622.35,B,,,0.22,,18.35,,kait4,8,,MJD,
