time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
,C,,,1.0,,20.3,,Catalina Schmidt,6,,,
53744.440002,C,,,,,20.881485,,Catalina Schmidt,6,,MJD,True
53744.480011,C,,,,,20.767414,,Catalina Schmidt,6,,MJD,True
53744.519989,C,,,,,20.93877,,Catalina Schmidt,6,,MJD,True
53744.559998,C,,,,,20.892818,,Catalina Schmidt,6,,MJD,True
54031.440002,C,,,,,21.438601,,Catalina Schmidt,6,,MJD,True
54031.47998,C,,,,,21.433399,,Catalina Schmidt,6,,MJD,True
54031.52002,C,,,,,21.370399,,Catalina Schmidt,6,,MJD,True
54031.559998,C,,,,,21.2999,,Catalina Schmidt,6,,MJD,True
54411.439941,C,,,,,21.134586,,Catalina Schmidt,6,,MJD,True
54411.47998,C,,,,,21.72002,,Catalina Schmidt,6,,MJD,True
54411.52002,C,,,,,21.091461,,Catalina Schmidt,6,,MJD,True
54449.47998,C,,,0.120588,,20.658379,,Catalina Schmidt,6,,MJD,
54803.52002,C,,,,,21.094746,,Catalina Schmidt,6,,MJD,True
54803.560059,C,,,,,21.210674,,Catalina Schmidt,6,,MJD,True
55160.439941,C,,,,,21.104164,,Catalina Schmidt,6,,MJD,True
55160.47998,C,,,,,21.066067,,Catalina Schmidt,6,,MJD,True
55160.52002,C,,,,,21.060156,,Catalina Schmidt,6,,MJD,True
55160.560059,C,,,,,21.045782,,Catalina Schmidt,6,,MJD,True
55182.439941,C,,,,,20.953543,,Catalina Schmidt,6,,MJD,True
55182.47998,C,,,,,21.129267,,Catalina Schmidt,6,,MJD,True
55182.52002,C,,,,,21.092491,,Catalina Schmidt,6,,MJD,True
55182.560059,C,,,,,21.02623,,Catalina Schmidt,6,,MJD,True
55499.439941,C,,,,,21.211033,,Catalina Schmidt,6,,MJD,True
55499.47998,C,,,,,21.12257,,Catalina Schmidt,6,,MJD,True
55499.52002,C,,,,,21.162416,,Catalina Schmidt,6,,MJD,True
55499.560059,C,,,,,20.983154,,Catalina Schmidt,6,,MJD,True
55532.439941,C,,,,,21.171761,,Catalina Schmidt,6,,MJD,True
55532.47998,C,,,,,21.071129,,Catalina Schmidt,6,,MJD,True
55532.52002,C,,,,,21.022762,,Catalina Schmidt,6,,MJD,True
55532.560059,C,,,,,21.038549,,Catalina Schmidt,6,,MJD,True
55590.439941,C,,,,,21.204836,,Catalina Schmidt,6,,MJD,True
55590.47998,C,,,,,21.180891,,Catalina Schmidt,6,,MJD,True
55590.52002,C,,,,,21.224957,,Catalina Schmidt,6,,MJD,True
55590.560059,C,,,,,21.138954,,Catalina Schmidt,6,,MJD,True
55832.47998,C,,,,,21.132936,,Catalina Schmidt,6,,MJD,True
55832.52002,C,,,,,20.957935,,Catalina Schmidt,6,,MJD,True
55832.560059,C,,,,,21.102892,,Catalina Schmidt,6,,MJD,True
56195.439941,C,,,0.231202,,21.855322,,Catalina Schmidt,6,,MJD,
56195.47998,C,,,,,21.28001,,Catalina Schmidt,6,,MJD,True
56195.52002,C,,,,,21.186171,,Catalina Schmidt,6,,MJD,True
56195.560059,C,,,,,21.136581,,Catalina Schmidt,6,,MJD,True
56209.439941,C,,,,,21.059324,,Catalina Schmidt,6,,MJD,True
56209.47998,C,,,,,21.176544,,Catalina Schmidt,6,,MJD,True
56209.52002,C,,,,,21.12961,,Catalina Schmidt,6,,MJD,True
56209.560059,C,,,,,21.218092,,Catalina Schmidt,6,,MJD,True
56559.439941,C,,,,,21.361303,,Catalina Schmidt,6,,MJD,True
56559.47998,C,,,,,21.395039,,Catalina Schmidt,6,,MJD,True
56559.52002,C,,,0.113039,,20.257099,,Catalina Schmidt,6,,MJD,
56559.560059,C,,,,,21.386116,,Catalina Schmidt,6,,MJD,True
56590.439941,C,,,,,21.519295,,Catalina Schmidt,6,,MJD,True
56590.47998,C,,,,,21.570957,,Catalina Schmidt,6,,MJD,True
56590.52002,C,,,,,21.511862,,Catalina Schmidt,6,,MJD,True
56590.560059,C,,,,,21.483267,,Catalina Schmidt,6,,MJD,True
56927.439941,C,,,0.023586,,16.694454,,Catalina Schmidt,6,,MJD,
56927.47998,C,,,0.023357,,16.704716,,Catalina Schmidt,6,,MJD,
56927.52002,C,,,0.025186,,16.735434,,Catalina Schmidt,6,,MJD,
56927.560059,C,,,0.024021,,16.754805,,Catalina Schmidt,6,,MJD,
57006.2181301555,w,,,0.0634292,,19.8447,,Pan-STARRS1,"2,7",,MJD,
57006.2285290292,w,,,0.0743725,,19.7951,,Pan-STARRS1,"2,7",,MJD,
57006.2386281082,w,,,0.0747668,,19.8276,,Pan-STARRS1,"2,7",,MJD,
57006.2487196596,w,,,0.0487232,,19.7599,,Pan-STARRS1,"2,7",,MJD,
