time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56947.5,,,,,,18.5,,,"6,7",,MJD,
56949.00,C,,,.44,,18.48,,TNTS,1,,MJD,
56952.00,C,,,.41,,17.88,,TNTS,1,,MJD,
56953.18,B,,,.02,,18.17,,LCO,1,,MJD,
56953.18,I,,,.02,,17.46,,LCO,1,,MJD,
56953.18,R,,,.02,,17.89,,LCO,1,,MJD,
56953.18,V,,,.04,,17.93,,LCO,1,,MJD,
56953.18,g,,,.03,,17.95,,LCO,1,,MJD,
56953.18,i,,,.04,,17.74,,LCO,1,,MJD,
56953.18,r,,,.03,,17.98,,LCO,1,,MJD,
56953.45,B,,,.04,,18.12,,LCO,1,,MJD,
56953.45,I,,,.04,,17.51,,LCO,1,,MJD,
56953.45,R,,,.03,,17.82,,LCO,1,,MJD,
56953.45,V,,,.03,,17.95,,LCO,1,,MJD,
56953.45,g,,,.05,,17.92,,LCO,1,,MJD,
56953.45,i,,,.06,,17.78,,LCO,1,,MJD,
56953.45,r,,,.03,,17.91,,LCO,1,,MJD,
56953.6840,UVW1,,,,,19.157,Vega,Swift,4,,MJD,True
56953.6854,U,,,0.187,,17.822,Vega,Swift,4,,MJD,
56953.6864,B,,,0.134,,17.801,Vega,Swift,4,,MJD,
56953.6888,UVW2,,,,,19.469,Vega,Swift,4,,MJD,True
56953.6912,V,,,0.203,,17.543,Vega,Swift,4,,MJD,
56953.6932,UVM2,,,,,19.639,Vega,Swift,4,,MJD,True
56954.04,B,,,.01,,18.07,,LJT,1,,MJD,
56954.04,I,,,.03,,17.52,,LJT,1,,MJD,
56954.04,R,,,.05,,17.68,,LJT,1,,MJD,
56954.04,U,,,.03,,17.44,,LJT,1,,MJD,
56954.04,V,,,.01,,17.86,,LJT,1,,MJD,
56954.99,B,,,.01,,17.95,,LJT,1,,MJD,
56954.99,I,,,.03,,17.49,,LJT,1,,MJD,
56954.99,R,,,.05,,17.59,,LJT,1,,MJD,
56954.99,U,,,.07,,17.55,,LJT,1,,MJD,
56954.99,V,,,.01,,17.79,,LJT,1,,MJD,
56955.3224,UVW1,,,0.366,,19.130,Vega,Swift,4,,MJD,
56955.3235,U,,,0.175,,17.707,Vega,Swift,4,,MJD,
56955.3242,B,,,0.137,,17.819,Vega,Swift,4,,MJD,
56955.3261,UVW2,,,,,19.497,Vega,Swift,4,,MJD,True
56955.3277,V,,,0.189,,17.427,Vega,Swift,4,,MJD,
56955.3305,UVM2,,,,,19.646,Vega,Swift,4,,MJD,True
56955.99,B,,,.01,,17.92,,LJT,1,,MJD,
56955.99,I,,,.03,,17.38,,LJT,1,,MJD,
56955.99,R,,,.05,,17.50,,LJT,1,,MJD,
56955.99,U,,,.07,,17.46,,LJT,1,,MJD,
56955.99,V,,,.01,,17.69,,LJT,1,,MJD,
56956.00,C,,,.64,,17.05,,TNT,1,,MJD,
56956.7130,UVW1,,,,,18.962,Vega,Swift,4,,MJD,True
56956.7144,U,,,0.191,,17.760,Vega,Swift,4,,MJD,
56956.7154,B,,,0.134,,17.716,Vega,Swift,4,,MJD,
56956.7178,UVW2,,,,,19.355,Vega,Swift,4,,MJD,True
56956.7201,V,,,0.180,,17.278,Vega,Swift,4,,MJD,
56956.7262,UVM2,,,,,19.738,Vega,Swift,4,,MJD,True
56957.5133,UVW1,,,,,18.636,Vega,Swift,4,,MJD,True
56957.5153,UVW2,,,,,18.979,Vega,Swift,4,,MJD,True
56957.5177,UVM2,,,,,19.101,Vega,Swift,4,,MJD,True
56957.5437,U,,,0.304,,17.920,Vega,Swift,4,,MJD,
56957.5442,B,,,0.179,,17.677,Vega,Swift,4,,MJD,
56957.5473,V,,,0.227,,17.073,Vega,Swift,4,,MJD,
56958.00,C,,,.47,,17.33,,TNT,1,,MJD,
56958.4501,UVW1,,,,,19.138,Vega,Swift,4,,MJD,True
56958.4513,U,,,0.242,,18.136,Vega,Swift,4,,MJD,
56958.4520,B,,,0.127,,17.654,Vega,Swift,4,,MJD,
56958.4548,UVW2,,,,,19.455,Vega,Swift,4,,MJD,True
56958.4565,V,,,0.200,,17.445,Vega,Swift,4,,MJD,
56958.4571,UVM2,,,,,19.353,Vega,Swift,4,,MJD,True
56959.5310,UVW1,,,,,18.568,Vega,Swift,4,,MJD,True
56959.6300,U,,,,,17.409,Vega,Swift,4,,MJD,True
56959.6301,B,,,0.327,,17.798,Vega,Swift,4,,MJD,
56959.6306,UVW2,,,,,18.120,Vega,Swift,4,,MJD,True
56959.6310,V,,,,,16.909,Vega,Swift,4,,MJD,True
56959.6315,UVM2,,,,,18.063,Vega,Swift,4,,MJD,True
56960.06,B,,,.02,,17.94,,LCO,1,,MJD,
56960.06,I,,,.04,,17.19,,LCO,1,,MJD,
56960.06,R,,,.04,,17.28,,LCO,1,,MJD,
56960.06,V,,,.02,,17.55,,LCO,1,,MJD,
56960.06,g,,,.03,,17.70,,LCO,1,,MJD,
56960.06,i,,,.08,,17.66,,LCO,1,,MJD,
56960.06,r,,,.05,,17.37,,LCO,1,,MJD,
56960.13,B,,,.02,,17.89,,LJT,1,,MJD,
56960.13,I,,,.03,,17.15,,LJT,1,,MJD,
56960.13,R,,,.05,,17.34,,LJT,1,,MJD,
56960.13,U,,,.16,,17.68,,LJT,1,,MJD,
56960.13,V,,,.02,,17.52,,LJT,1,,MJD,
56961.6185,UVW1,,,,,18.753,Vega,Swift,4,,MJD,True
56961.6200,U,,,,,18.387,Vega,Swift,4,,MJD,True
56961.6207,B,,,0.164,,17.717,Vega,Swift,4,,MJD,
56961.6223,UVW2,,,,,18.885,Vega,Swift,4,,MJD,True
56962.14,B,,,.03,,18.10,,LCO,1,,MJD,
56962.14,I,,,.05,,17.03,,LCO,1,,MJD,
56962.14,R,,,.05,,17.32,,LCO,1,,MJD,
56962.14,V,,,.03,,17.55,,LCO,1,,MJD,
56962.14,g,,,.04,,17.74,,LCO,1,,MJD,
56962.14,i,,,.04,,17.49,,LCO,1,,MJD,
56962.14,r,,,.03,,17.51,,LCO,1,,MJD,
56962.17,B,,,.01,,17.81,,LJT,1,,MJD,
