time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57389.53,G,,,,,21.5,,Gaia,4,,MJD,True
57408.3,C,,,,,20,Vega,,4,,MJD,True
57421.1919907,G,,,0.2,,17.93,,Gaia,4,,MJD,
57421.193,G,,,0.0,,18.07,,GAIA,5,,MJD,
57421.267,G,,,0.0,,18.06,,GAIA,5,,MJD,
57423.4897569,V-crts,,,,,18,Vega,,4,,MJD,
57438.697,G,,,0.0,,17.83,,GAIA,5,,MJD,
57438.771,G,,,0.0,,17.81,,GAIA,5,,MJD,
57451.0205,r,,,,,24.4369,,,"7,8",,MJD,
57451.0279,r,,,,,22.7076,,,"7,8",,MJD,
57451.0355,r,,,,,22.707,,,"7,8",,MJD,
57475.9806,r,,,,,22.4212,,,"7,8",,MJD,
57475.9877,r,,,,,22.6197,,,"7,8",,MJD,
57475.9948,r,,,,,24.695,,,"7,8",,MJD,
57486.14,r,,,,,24.3225,,,"7,8",,MJD,
57486.1471,r,,,,,22.4446,,,"7,8",,MJD,
57486.1542,r,,,,,22.3693,,,"7,8",,MJD,
57511.9958,r,,,,,22.3022,,,"7,8",,MJD,
57512.0029,r,,,,,21.931,,,"7,8",,MJD,
57512.01,r,,,,,22.2875,,,"7,8",,MJD,
