time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57374.51,G,,,,,21.5,,Gaia,8,,MJD,True
57413.08,V,,,,,16.25,Vega,ASASSN-1,8,,MJD,True
57415.08,V,,,0.2,,16.6,Vega,ASASSN-1,8,,MJD,
57427.11,V,,,0.15,,16.2,Vega,ASASSN-1,8,,MJD,
57430.3959954,G,,,0.2,,17.34,,Gaia,8,,MJD,
57430.471,G,,,0.0,,17.35,,GAIA,6,,MJD,
57438.7388,g,,,0.0801,,18.3842,,,"7,10",,MJD,
57438.7436,r,,,0.039,,17.3932,,,"7,10",,MJD,
57438.7484,i,,,0.0645,,17.2774,,,"7,10",,MJD,
57442.0738,g,,,0.0516,,18.5114,,,"7,10",,MJD,
57442.0786,r,,,0.0224,,17.4654,,,"7,10",,MJD,
57442.0927,i,,,0.0481,,17.8682,,,"7,10",,MJD,
57446.9119,B,,,0.0533,,19.0138,,,"7,10",,MJD,
57468.852,G,,,0.0,,19.06,,GAIA,6,,MJD,
57468.926,G,,,0.0,,19.06,,GAIA,6,,MJD,
57492.097,G,,,0.0,,19.73,,GAIA,6,,MJD,
57527.819,G,,,0.0,,20.55,,GAIA,6,,MJD,
57527.893,G,,,0.0,,20.51,,GAIA,6,,MJD,
