time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57427.0431134,w,,,,,19.7956,,PS1,6,,MJD,
57427.5431191102,w,,,0.0706411,,19.7956,,Pan-STARRS1,"1,5",,MJD,
57427.5565369987,w,,,0.0453501,,19.7318,,Pan-STARRS1,"1,5",,MJD,
57427.5699202972,w,,,0.0429086,,19.7659,,Pan-STARRS1,"1,5",,MJD,
57427.5834520965,w,,,0.0461557,,19.7767,,Pan-STARRS1,"1,5",,MJD,
57444.4882070357,r,,,0.169131,,19.5415,,Pan-STARRS1,"1,5",,MJD,
57444.500456417,r,,,0.162344,,19.4094,,Pan-STARRS1,"1,5",,MJD,
57444.5121773855,r,,,0.185148,,19.4857,,Pan-STARRS1,"1,5",,MJD,
57444.5238328381,r,,,0.139128,,19.4205,,Pan-STARRS1,"1,5",,MJD,
57455.2978227878,w,,,0.09096,,19.5991,,Pan-STARRS1,"1,5",,MJD,
57455.3094378244,w,,,0.162983,,19.7441,,Pan-STARRS1,"1,5",,MJD,
57455.3210824012,w,,,0.136921,,19.7068,,Pan-STARRS1,"1,5",,MJD,
57455.3407488325,w,,,0.0748947,,19.6131,,Pan-STARRS1,"1,5",,MJD,
57457.3103946535,w,,,0.0313904,,19.636,,Pan-STARRS1,"1,5",,MJD,
57457.3205704982,w,,,0.0242432,,19.6373,,Pan-STARRS1,"1,5",,MJD,
57457.3307028334,w,,,0.0241815,,19.6254,,Pan-STARRS1,"1,5",,MJD,
57457.3408620421,w,,,0.0243489,,19.6155,,Pan-STARRS1,"1,5",,MJD,
57475.2723265282,w,,,0.030474,,19.9526,,Pan-STARRS1,"1,5",,MJD,
57475.2853545154,w,,,0.0471366,,20.0372,,Pan-STARRS1,"1,5",,MJD,
57475.2984665941,w,,,0.0471623,,20.0212,,Pan-STARRS1,"1,5",,MJD,
57475.3115747307,w,,,0.0624228,,20.0447,,Pan-STARRS1,"1,5",,MJD,
