time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57433.4991510329,w,,,0.0984477,,20.0783,,Pan-STARRS1,2,,MJD,
57433.5108125205,w,,,0.105166,,20.1004,,Pan-STARRS1,2,,MJD,
57433.5224657644,w,,,0.0948763,,20.0461,,Pan-STARRS1,2,,MJD,
57433.5341215081,w,,,0.121714,,20.1428,,Pan-STARRS1,2,,MJD,
57436.5530136457,r,,,0.148822,,19.8165,,Pan-STARRS1,2,,MJD,
57436.5691809733,r,,,0.18105,,19.7678,,Pan-STARRS1,2,,MJD,
57436.5851834515,r,,,0.169862,,19.8836,,Pan-STARRS1,2,,MJD,
57448.4776220439,r,,,0.0837758,,20.0472,,Pan-STARRS1,2,,MJD,
57448.4927554206,r,,,0.0854321,,20.0856,,Pan-STARRS1,2,,MJD,
57448.5077747162,r,,,0.0620225,,19.9171,,Pan-STARRS1,2,,MJD,
57448.5232057906,r,,,0.0809597,,20.0684,,Pan-STARRS1,2,,MJD,
57449.4674465735,r,,,0.105981,,20.0941,,Pan-STARRS1,2,,MJD,
57449.47932574,r,,,0.108941,,20.0489,,Pan-STARRS1,2,,MJD,
57449.4909559404,r,,,0.197517,,20.1059,,Pan-STARRS1,2,,MJD,
57460.4248484611,w,,,0.0994823,,20.9356,,Pan-STARRS1,2,,MJD,
57460.4398801335,w,,,0.100393,,20.8627,,Pan-STARRS1,2,,MJD,
57460.4549535289,w,,,0.0832388,,20.9241,,Pan-STARRS1,2,,MJD,
57460.4699900563,w,,,0.0726253,,20.9355,,Pan-STARRS1,2,,MJD,
