time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57460.5,,,,,,17.5,,,"6,9",,MJD,
57462.336,g,,,,,17.10961,,PS1,1,,MJD,
57462.336,i,,,,,17.47733,,PS1,1,,MJD,
57462.336,r,,,,,17.08659,,PS1,1,,MJD,
57472.461,g,,,,,17.32861,,PS1,1,,MJD,
57472.461,r,,,,,17.18752,,PS1,1,,MJD,
57472.465,i,,,,,17.8454,,PS1,1,,MJD,
57472.465,z,,,,,17.8764,,PS1,1,,MJD,
57477.285,i,,,,,18.2752,,PS1,1,,MJD,
57477.285,r,,,,,17.5369,,PS1,1,,MJD,
57477.285,z,,,,,18.1204,,PS1,1,,MJD,
57483.348,g,,,,,18.2914,,PS1,1,,MJD,
57483.348,i,,,,,18.2258,,PS1,1,,MJD,
57483.348,r,,,,,17.7040,,PS1,1,,MJD,
57483.348,z,,,,,18.0990,,PS1,1,,MJD,
57488.60024774305,r,,,0.0673574,,18.1698,,,7,,MJD,
57489.297,g,,,,,18.7758,,PS1,1,,MJD,
57489.301,i,,,,,18.0501,,PS1,1,,MJD,
57489.301,r,,,,,17.9325,,PS1,1,,MJD,
57489.301,z,,,,,18.0236,,PS1,1,,MJD,
57491.246,r,,,,,18.0905,,PS1,1,,MJD,
57491.277,r,,,,,18.1569,,PS1,1,,MJD,
57491.289,r,,,,,18.1435,,PS1,1,,MJD,
57491.301,r,,,,,18.1164,,PS1,1,,MJD,
57499.398,g,,,,,19.6782,,PS1,1,,MJD,
57499.402,i,,,,,18.6422,,PS1,1,,MJD,
57499.402,r,,,,,18.5883,,PS1,1,,MJD,
57499.402,z,,,,,18.5053,,PS1,1,,MJD,
57502.375,i,,,,,18.6436,,PS1,1,,MJD,
57502.391,i,,,,,18.6411,,PS1,1,,MJD,
57502.402,i,,,,,18.7100,,PS1,1,,MJD,
57502.414,i,,,,,18.6470,,PS1,1,,MJD,
57509.250,g,,,,,19.9870,,PS1,1,,MJD,
57509.250,i,,,,,19.0292,,PS1,1,,MJD,
57509.250,r,,,,,19.0210,,PS1,1,,MJD,
57509.250,z,,,,,19.0904,,PS1,1,,MJD,
57526.344,i,,,,,19.7496,,PS1,1,,MJD,
57526.359,i,,,,,19.7266,,PS1,1,,MJD,
57526.371,i,,,,,19.6051,,PS1,1,,MJD,
57526.383,i,,,,,19.7316,,PS1,1,,MJD,
57532.312,i,,,,,20.036,,PS1,1,,MJD,
