time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57444.505,G,,,,,21.5,,Gaia,10,,MJD,True
57482.53,V,,,,,17.7,Vega,ASASSN-1,10,,MJD,True
57488.44,V,,,0.1,,16.3,,ASASSN-1,10,,MJD,
57495.3369,UVW1,,,0.061,,14.686,Vega,Swift,4,,MJD,
57495.3378,U,,,0.051,,14.566,Vega,Swift,4,,MJD,
57495.3382,B,,,0.061,,15.638,Vega,Swift,4,,MJD,
57495.3394,UVW2,,,0.071,,15.100,Vega,Swift,4,,MJD,
57495.3407,V,,,0.081,,15.539,Vega,Swift,4,,MJD,
57495.3424,UVM2,,,0.063,,14.865,Vega,Swift,4,,MJD,
57498.7306,UVW1,,,0.070,,15.441,Vega,Swift,4,,MJD,
57498.7314,U,,,0.060,,15.013,Vega,Swift,4,,MJD,
57498.7319,B,,,0.067,,15.811,Vega,Swift,4,,MJD,
57498.7336,UVW2,,,0.083,,16.062,Vega,Swift,4,,MJD,
57498.7348,V,,,0.081,,15.654,Vega,Swift,4,,MJD,
57498.7372,UVM2,,,0.072,,15.835,Vega,Swift,4,,MJD,
57504.5764,UVM2,,,0.198,,17.147,Vega,Swift,4,,MJD,
57504.6022,UVW1,,,0.083,,16.406,Vega,Swift,4,,MJD,
57504.6038,U,,,0.071,,15.646,Vega,Swift,4,,MJD,
57504.6046,B,,,0.067,,16.164,Vega,Swift,4,,MJD,
57504.6071,UVW2,,,0.120,,17.329,Vega,Swift,4,,MJD,
57504.6093,V,,,0.078,,15.808,Vega,Swift,4,,MJD,
57505.3612020593,i,,,0.068828,,19.7546,,Pan-STARRS1,"2,7",,MJD,
57505.3709961683,i,,,0.103884,,19.7342,,Pan-STARRS1,"2,7",,MJD,
57505.3809701005,i,,,0.0880884,,19.8611,,Pan-STARRS1,"2,7",,MJD,
57505.3908930301,i,,,0.0809142,,19.6585,,Pan-STARRS1,"2,7",,MJD,
57507.8901,UVW1,,,0.168,,17.058,Vega,Swift,4,,MJD,
57507.8908,U,,,0.107,,15.884,Vega,Swift,4,,MJD,
57507.8912,B,,,0.097,,16.328,Vega,Swift,4,,MJD,
57507.8923,UVW2,,,0.238,,17.865,Vega,Swift,4,,MJD,
57507.8933,V,,,0.138,,16.093,Vega,Swift,4,,MJD,
57507.8950,UVM2,,,0.205,,17.821,Vega,Swift,4,,MJD,
57510.7827,UVW1,,,0.131,,17.403,Vega,Swift,4,,MJD,
57510.7839,U,,,0.089,,16.432,Vega,Swift,4,,MJD,
57510.7844,B,,,0.074,,16.501,Vega,Swift,4,,MJD,
57510.7854,UVW2,,,0.289,,18.731,Vega,Swift,4,,MJD,
57510.7872,V,,,0.086,,16.108,Vega,Swift,4,,MJD,
57510.7883,UVM2,,,0.202,,18.157,Vega,Swift,4,,MJD,
57513.7081,UVW1,,,0.176,,17.862,Vega,Swift,4,,MJD,
57513.7088,U,,,0.105,,16.803,Vega,Swift,4,,MJD,
57513.7092,B,,,0.078,,16.641,Vega,Swift,4,,MJD,
57513.7107,UVW2,,,,,19.052,Vega,Swift,4,,MJD,True
57513.7118,V,,,0.090,,16.166,Vega,Swift,4,,MJD,
57513.7138,UVM2,,,0.274,,18.685,Vega,Swift,4,,MJD,
57516.7429,UVW1,,,0.204,,18.112,Vega,Swift,4,,MJD,
57516.7440,U,,,0.115,,17.053,Vega,Swift,4,,MJD,
57516.7445,B,,,0.082,,16.827,Vega,Swift,4,,MJD,
57516.7455,UVW2,,,,,19.079,Vega,Swift,4,,MJD,True
57516.7473,V,,,0.089,,16.184,Vega,Swift,4,,MJD,
57516.7488,UVM2,,,,,19.042,Vega,Swift,4,,MJD,True
57519.1232,UVW1,,,0.256,,18.405,Vega,Swift,4,,MJD,
57519.1240,U,,,0.129,,17.233,Vega,Swift,4,,MJD,
57519.1245,B,,,0.085,,16.897,Vega,Swift,4,,MJD,
57519.1256,UVW2,,,,,19.053,Vega,Swift,4,,MJD,True
57519.1269,V,,,0.093,,16.258,Vega,Swift,4,,MJD,
57519.1284,UVM2,,,,,19.023,Vega,Swift,4,,MJD,True
57522.9747,UVW1,,,,,18.305,Vega,Swift,4,,MJD,True
57522.9755,U,,,0.271,,17.787,Vega,Swift,4,,MJD,
57522.9760,B,,,0.130,,17.127,Vega,Swift,4,,MJD,
57522.9772,UVW2,,,,,18.542,Vega,Swift,4,,MJD,True
57522.9784,V,,,0.159,,16.494,Vega,Swift,4,,MJD,
57522.9803,UVM2,,,,,18.651,Vega,Swift,4,,MJD,True
57523.3505355017,i,,,0.157071,,20.1853,,Pan-STARRS1,"2,7",,MJD,
57525.7721,UVW1,,,,,18.647,Vega,Swift,4,,MJD,True
57525.7736,U,,,0.202,,17.717,Vega,Swift,4,,MJD,
57525.7744,B,,,0.110,,17.218,Vega,Swift,4,,MJD,
57525.7768,UVW2,,,,,18.861,Vega,Swift,4,,MJD,True
57525.7791,V,,,0.120,,16.450,Vega,Swift,4,,MJD,
57525.7825,UVM2,,,,,18.864,Vega,Swift,4,,MJD,True
57589.001,G,,,0.0,,18.13,,GAIA,6,,MJD,
57589.075,G,,,0.0,,18.10,,GAIA,6,,MJD,
57589.5,G,,,0.2,,18.11,,Gaia,10,,MJD,
57614.494,G,,,0.0,,18.46,,GAIA,6,,MJD,
57614.568,G,,,0.0,,18.42,,GAIA,6,,MJD,
57642.557,G,,,0.0,,18.70,,GAIA,6,,MJD,
