time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57496.4639931,G,,,,,21.5,,Gaia,3,,MJD,True
57568.1290162,r,,,0.1,,18.1,Vega,CNEOST,3,,MJD,
57568.62901739583,r,,,0.0352837,,18.1126,,,4,,MJD,
57595.5159954,G,,,0.2,,18.21,,Gaia,3,,MJD,
57595.517,G,,,0.0,,18.19,,GAIA,5,,MJD,
57595.591,G,,,0.0,,18.22,,GAIA,5,,MJD,
57598.9002,R,,,,,19.7993,,,"6,7",,MJD,
57598.9042,B,,,,,22.5527,,,"6,7",,MJD,
57598.9096,R,,,,,21.7529,,,"6,7",,MJD,
57598.9166,i,,,,,20.6234,,,"6,7",,MJD,
57599.944,r,,,0.0128,,16.3843,,,"6,7",,MJD,
57599.9479,g,,,0.0152,,16.9281,,,"6,7",,MJD,
57599.9519,r,,,0.0235,,16.4919,,,"6,7",,MJD,
57602.9654,B,,,,,19.0689,,,"6,7",,MJD,
57602.9676,B,,,,,18.715,,,"6,7",,MJD,
57602.9698,B,,,,,18.979,,,"6,7",,MJD,
57602.972,V,,,0.082053,,17.6339,,,"6,7",,MJD,
57602.9743,V,,,0.0732971,,17.2879,,,"6,7",,MJD,
57602.9765,V,,,0.0832208,,17.4488,,,"6,7",,MJD,
57602.9787,R,,,0.0548166,,16.9175,,,"6,7",,MJD,
57602.981,R,,,0.0537386,,17.0371,,,"6,7",,MJD,
57602.9832,R,,,0.0573807,,16.9125,,,"6,7",,MJD,
57602.9854,I,,,0.110578,,17.1879,,,"6,7",,MJD,
57602.9877,I,,,0.140564,,17.4525,,,"6,7",,MJD,
57602.99,I,,,0.115005,,17.1338,,,"6,7",,MJD,
57603.9335,B,,,,,17.7663,,,"6,7",,MJD,
57603.9357,B,,,,,18.6461,,,"6,7",,MJD,
57603.9379,V,,,0.0897615,,17.5838,,,"6,7",,MJD,
57603.9402,V,,,0.0922496,,17.6001,,,"6,7",,MJD,
57603.9424,V,,,0.0960163,,17.767,,,"6,7",,MJD,
57603.9446,R,,,0.0568938,,16.9291,,,"6,7",,MJD,
57603.9471,R,,,0.0628569,,17.2017,,,"6,7",,MJD,
57603.9493,R,,,0.0631959,,17.2467,,,"6,7",,MJD,
57603.9515,I,,,0.122927,,17.052,,,"6,7",,MJD,
57603.9537,I,,,0.119905,,17.0721,,,"6,7",,MJD,
57603.956,I,,,0.123514,,17.0816,,,"6,7",,MJD,
57604.9771,B,,,,,18.1149,,,"6,7",,MJD,
57604.9793,V,,,,,18.5831,,,"6,7",,MJD,
57604.9816,V,,,,,18.6392,,,"6,7",,MJD,
57604.9838,V,,,,,18.5973,,,"6,7",,MJD,
57604.986,R,,,0.0906088,,17.267,,,"6,7",,MJD,
57604.9883,R,,,0.0966503,,17.2255,,,"6,7",,MJD,
57604.9905,R,,,0.0915368,,17.2597,,,"6,7",,MJD,
57604.9927,I,,,,,17.5507,,,"6,7",,MJD,
57604.9949,I,,,,,17.3683,,,"6,7",,MJD,
57604.9971,I,,,,,17.4543,,,"6,7",,MJD,
57607.9279,B,,,,,18.2818,,,"6,7",,MJD,
57607.9301,B,,,,,18.5289,,,"6,7",,MJD,
57607.9323,B,,,,,18.5945,,,"6,7",,MJD,
57607.9345,V,,,0.119117,,17.9942,,,"6,7",,MJD,
57607.9368,V,,,0.0995429,,17.8407,,,"6,7",,MJD,
57607.939,V,,,0.109862,,17.789,,,"6,7",,MJD,
57607.9412,R,,,0.0725185,,17.217,,,"6,7",,MJD,
57607.9435,R,,,0.0775942,,17.3313,,,"6,7",,MJD,
57607.9457,R,,,0.0759475,,17.3306,,,"6,7",,MJD,
57607.9479,I,,,0.119685,,16.8914,,,"6,7",,MJD,
57607.9502,I,,,0.138311,,17.346,,,"6,7",,MJD,
57607.9525,I,,,0.131609,,17.2168,,,"6,7",,MJD,
57609.9632,I,,,,,17.1835,,,"6,7",,MJD,
57692.045,G,,,0.0,,20.23,,GAIA,5,,MJD,
57692.221,G,,,0.0,,20.26,,GAIA,5,,MJD,
57692.295,G,,,0.0,,20.23,,GAIA,5,,MJD,
57706.978,G,,,0.0,,20.35,,GAIA,5,,MJD,
57707.228,G,,,0.0,,20.32,,GAIA,5,,MJD,
57707.302,G,,,0.0,,20.42,,GAIA,5,,MJD,
57707.478,G,,,0.0,,20.33,,GAIA,5,,MJD,
57707.552,G,,,0.0,,20.31,,GAIA,5,,MJD,
57833.2362,V,,,,,20.0914,,,"6,7",,MJD,
57833.2428,R,,,0.0337769,,16.4709,,,"6,7",,MJD,
