time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57445.1839931,G,,,,,21.5,,Gaia,6,,MJD,True
57575.3121759,w,,,,,18.22,,PS1,6,,MJD,
57575.3121874243,w,,,0.0116866,,18.2248,,Pan-STARRS1,"1,4",,MJD,
57575.324133202,w,,,0.0139891,,18.1126,,Pan-STARRS1,"1,4",,MJD,
57575.3360939069,w,,,0.0123097,,18.1133,,Pan-STARRS1,"1,4",,MJD,
57575.3480456391,w,,,0.0145087,,18.0849,,Pan-STARRS1,"1,4",,MJD,
57587.2825256837,i,,,0.0686585,,19.051,,Pan-STARRS1,"1,4",,MJD,
57587.2839143989,i,,,0.051711,,19.0152,,Pan-STARRS1,"1,4",,MJD,
57587.2942841415,i,,,0.0601773,,19.066,,Pan-STARRS1,"1,4",,MJD,
57587.2956728054,i,,,0.063284,,18.989,,Pan-STARRS1,"1,4",,MJD,
57587.3060068377,i,,,0.0558198,,18.9919,,Pan-STARRS1,"1,4",,MJD,
57587.3074022572,i,,,0.0536674,,18.9626,,Pan-STARRS1,"1,4",,MJD,
57587.3177339238,i,,,0.0725983,,19.0366,,Pan-STARRS1,"1,4",,MJD,
57587.3191297753,i,,,0.0680407,,18.9714,,Pan-STARRS1,"1,4",,MJD,
57588.2459954,G,,,0.2,,18.74,,Gaia,6,,MJD,
57588.747,G,,,0.0,,18.75,,GAIA,5,,MJD,
57588.821,G,,,0.0,,18.77,,GAIA,5,,MJD,
57613.242,G,,,0.0,,19.71,,GAIA,5,,MJD,
