time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57598.3295090726,w,,,0.0505707,,18.6893,,Pan-STARRS1,"1,5",,MJD,
57598.33,w,,,0.05,,18.69,,PS1,6,,MJD,
57598.3413596964,w,,,0.0460245,,18.6826,,Pan-STARRS1,"1,5",,MJD,
57598.3531841156,w,,,0.0441486,,18.6509,,Pan-STARRS1,"1,5",,MJD,
57598.3649866585,w,,,0.0413845,,18.7143,,Pan-STARRS1,"1,5",,MJD,
57604.8419,UVW2,,,0.301,,19.496,Vega,Swift,3,,MJD,
57604.8439,UVM2,,,0.315,,19.229,Vega,Swift,3,,MJD,
57604.8498,UVW1,,,0.081,,18.306,Vega,Swift,3,,MJD,
57610.2603,UVW2,,,0.155,,19.762,Vega,Swift,3,,MJD,
57610.2631,UVM2,,,0.159,,19.498,Vega,Swift,3,,MJD,
57610.2659,UVW1,,,0.107,,18.978,Vega,Swift,3,,MJD,
57612.3473581112,r,,,0.0757184,,18.632,,Pan-STARRS1,"1,5",,MJD,
57612.3571003674,r,,,0.0699668,,18.6228,,Pan-STARRS1,"1,5",,MJD,
57612.3765738945,r,,,0.0806029,,18.636,,Pan-STARRS1,"1,5",,MJD,
57614.9383,UVW2,,,0.229,,20.030,Vega,Swift,3,,MJD,
57614.9421,UVM2,,,0.273,,20.065,Vega,Swift,3,,MJD,
57614.9457,UVW1,,,0.155,,19.274,Vega,Swift,3,,MJD,
57620.5926,UVW2,,,0.315,,20.516,Vega,Swift,3,,MJD,
57620.5964,UVM2,,,,,20.507,Vega,Swift,3,,MJD,True
57620.6001,UVW1,,,0.222,,19.825,Vega,Swift,3,,MJD,
57624.6815,UVW1,,,,,20.071,Vega,Swift,3,,MJD,True
57624.7437,UVW2,,,,,20.481,Vega,Swift,3,,MJD,True
57624.7453,UVM2,,,,,20.092,Vega,Swift,3,,MJD,True
57628.3326,UVW2,,,,,20.341,Vega,Swift,3,,MJD,True
57628.3348,UVM2,,,,,20.074,Vega,Swift,3,,MJD,True
57628.3368,UVW1,,,,,20.160,Vega,Swift,3,,MJD,True
57661.2382466015,w,,,0.189952,,21.0844,,Pan-STARRS1,"1,5",,MJD,
57661.2514808243,w,,,0.186449,,21.1089,,Pan-STARRS1,"1,5",,MJD,
57661.277946696,w,,,0.229631,,21.1015,,Pan-STARRS1,"1,5",,MJD,
