time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57449.5069907,G,,,,,21.5,,Gaia,7,,MJD,True
57577.3869907,cyan,,,,,19.63,,ATLAS1,7,,MJD,True
57591.24,G,,,0.2,,18.29,,Gaia,7,,MJD,
57591.741,G,,,0.0,,18.25,,GAIA,5,,MJD,
57601.2969907,cyan,,,0.06,,17.67,,ATLAS1,7,,MJD,
57608.993,G,,,0.0,,18.03,,GAIA,5,,MJD,
57609.067,G,,,0.0,,17.93,,GAIA,5,,MJD,
57618.2609954,i,,,0.02,,18.4,,PS1,7,,MJD,
57618.2611545519,i,,,0.0196517,,18.3854,,Pan-STARRS1,"1,2,6",,MJD,
57618.2611545519,i,,,0.0198189,,18.4021,,Pan-STARRS1,"1,2,6",,MJD,
57618.2723769714,i,,,0.0252975,,18.3937,,Pan-STARRS1,"1,2,6",,MJD,
57618.2723769714,i,,,0.0248375,,18.4192,,Pan-STARRS1,"1,2,6",,MJD,
57618.283580502,i,,,0.0169104,,18.4148,,Pan-STARRS1,"1,2,6",,MJD,
57618.2835805021,i,,,0.0170823,,18.4477,,Pan-STARRS1,"1,2,6",,MJD,
57618.2947790408,i,,,0.0194208,,18.3857,,Pan-STARRS1,"1,2,6",,MJD,
57618.2947790408,i,,,0.0191274,,18.4101,,Pan-STARRS1,"1,2,6",,MJD,
57642.970,G,,,0.0,,19.26,,GAIA,5,,MJD,
