time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57659.3,C,,,,,19.1,Vega,BAO-0.6m,4,,MJD,
57668.438,g,,,,,18.9225,,PS1,1,,MJD,
57668.438,i,,,,,19.1262,,PS1,1,,MJD,
57668.438,r,,,,,18.8079,,PS1,1,,MJD,
57668.438,z,,,,,19.7942,,PS1,1,,MJD,
57672.406,g,,,,,18.9341,,PS1,1,,MJD,
57672.406,i,,,,,19.2592,,PS1,1,,MJD,
57672.406,r,,,,,18.8538,,PS1,1,,MJD,
57672.406,z,,,,,19.8958,,PS1,1,,MJD,
57681.383,g,,,,,19.2646,,PS1,1,,MJD,
57681.387,i,,,,,19.5570,,PS1,1,,MJD,
57681.387,r,,,,,19.0465,,PS1,1,,MJD,
57681.387,z,,,,,20.812,,PS1,1,,MJD,True
57688.395,g,,,,,20.143,,PS1,1,,MJD,
57688.395,i,,,,,20.132,,PS1,1,,MJD,
57688.395,r,,,,,19.4990,,PS1,1,,MJD,
57688.395,z,,,,,20.667,,PS1,1,,MJD,
57699.320,g,,,,,20.732,,PS1,1,,MJD,
57699.320,i,,,,,19.7836,,PS1,1,,MJD,
57699.320,r,,,,,19.9480,,PS1,1,,MJD,
57699.320,z,,,,,19.9504,,PS1,1,,MJD,
