time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57652.4319907,G,,,,,21.5,,Gaia,7,,MJD,True
57655.3189931,V,,,,,17.4,Vega,AST3,7,,MJD,True
57658.28,V,,,0.15,,16.4,Vega,ASASSN-2,7,,MJD,
57660.28,V,,,0.07,,15.9,Vega,ASASSN-2,7,,MJD,
57686.0969907,G,,,0.2,,15.2,,Gaia,7,,MJD,
57686.098,G,,,0.0,,15.22,,GAIA,5,,MJD,
57686.172,G,,,0.0,,15.21,,GAIA,5,,MJD,
57708.926,G,,,0.0,,16.22,,GAIA,5,,MJD,
57709.102,G,,,0.0,,16.20,,GAIA,5,,MJD,
57766.595,G,,,0.0,,17.96,,GAIA,5,,MJD,
57766.669,G,,,0.0,,17.98,,GAIA,5,,MJD,
57766.920,G,,,0.0,,17.99,,GAIA,5,,MJD,
57782.426,G,,,0.0,,18.31,,GAIA,5,,MJD,
57782.602,G,,,0.0,,18.30,,GAIA,5,,MJD,
57782.676,G,,,0.0,,18.32,,GAIA,5,,MJD,
57821.963,G,,,0.0,,19.16,,GAIA,5,,MJD,
57856.112,G,,,0.0,,19.73,,GAIA,5,,MJD,
57875.685,G,,,0.0,,20.00,,GAIA,5,,MJD,
