time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57564.4819907,G,,,,,21.5,,Gaia,4,,MJD,True
57663.4229977,G,,,0.2,,15.95,,Gaia,4,,MJD,
57663.924,G,,,0.0,,15.96,,GAIA,5,,MJD,
57664.100,G,,,0.0,,15.98,,GAIA,5,,MJD,
57676.355,G,,,0.0,,16.47,,GAIA,5,,MJD,
57676.429,G,,,0.0,,16.47,,GAIA,5,,MJD,
57713.896,G,,,0.0,,17.55,,GAIA,5,,MJD,
57714.072,G,,,0.0,,17.55,,GAIA,5,,MJD,
57736.0709954,i,,,0.08,,18.32,,PS1,4,,MJD,
57736.5714534243,i,,,0.0834772,,18.325,,Pan-STARRS1,"1,6",,MJD,
57736.5831250311,i,,,0.100352,,18.3029,,Pan-STARRS1,"1,6",,MJD,
57736.594792182,i,,,0.0654904,,18.2582,,Pan-STARRS1,"1,6",,MJD,
57736.6064449073,i,,,0.0539715,,18.4188,,Pan-STARRS1,"1,6",,MJD,
57736.6537286976,z,,,0.131904,,19.1109,,Pan-STARRS1,"1,6",,MJD,
57747.057,G,,,0.0,,18.31,,GAIA,5,,MJD,
57747.131,G,,,0.0,,18.34,,GAIA,5,,MJD,
57766.563,G,,,0.0,,18.72,,GAIA,5,,MJD,
57766.637,G,,,0.0,,18.65,,GAIA,5,,MJD,
57766.813,G,,,0.0,,18.71,,GAIA,5,,MJD,
57818.34734524,i,,,0.180587,,19.9869,,Pan-STARRS1,"1,6",,MJD,
57818.3583455741,i,,,0.132758,,19.933,,Pan-STARRS1,"1,6",,MJD,
57818.3693596828,i,,,0.120479,,20.0318,,Pan-STARRS1,"1,6",,MJD,
57818.3803670221,i,,,0.124503,,20.1468,,Pan-STARRS1,"1,6",,MJD,
57826.3568950257,i,,,0.0933002,,20.0616,,Pan-STARRS1,"1,6",,MJD,
57826.3698196797,i,,,0.161531,,19.8552,,Pan-STARRS1,"1,6",,MJD,
57826.3827344834,i,,,0.140053,,20.0538,,Pan-STARRS1,"1,6",,MJD,
57826.3956583996,i,,,0.0967467,,20.0096,,Pan-STARRS1,"1,6",,MJD,
57833.948,G,,,0.0,,19.82,,GAIA,5,,MJD,
57834.375,G,,,0.0,,19.89,,GAIA,5,,MJD,
57834.449,G,,,0.0,,19.86,,GAIA,5,,MJD,
57843.954,G,,,0.0,,20.04,,GAIA,5,,MJD,
57844.130,G,,,0.0,,19.97,,GAIA,5,,MJD,
57844.204,G,,,0.0,,20.02,,GAIA,5,,MJD,
57844.380,G,,,0.0,,19.94,,GAIA,5,,MJD,
57886.433,G,,,0.0,,20.62,,GAIA,5,,MJD,
