time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57669.4048010493,w,,,0.00776055,,17.4487,,Pan-STARRS1,"1,4",,MJD,
57669.405,w,,,0.01,,17.45,,PS1,5,,MJD,
57669.4160827668,w,,,0.00697876,,17.4592,,Pan-STARRS1,"1,4",,MJD,
57669.4274214772,w,,,0.00686154,,17.4537,,Pan-STARRS1,"1,4",,MJD,
57669.4388242065,w,,,0.0069346,,17.4409,,Pan-STARRS1,"1,4",,MJD,
57710.4900495583,i,,,0.029807,,17.7817,,Pan-STARRS1,"1,4",,MJD,
57710.4992523132,i,,,0.0262388,,17.7565,,Pan-STARRS1,"1,4",,MJD,
57766.2924065646,i,,,0.0572912,,18.6812,,Pan-STARRS1,"1,4",,MJD,
57766.3034635112,i,,,0.0372266,,18.7021,,Pan-STARRS1,"1,4",,MJD,
57766.3144688513,i,,,0.0552873,,18.6681,,Pan-STARRS1,"1,4",,MJD,
57766.3254450597,i,,,0.0676101,,18.6303,,Pan-STARRS1,"1,4",,MJD,
