time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57715.1999884,C,,,,,18.9,Vega,BAO-0.6m,3,,MJD,
57767.266790768,i,,,0.127315,,20.2488,,Pan-STARRS1,4,,MJD,
57767.266790768,i,,,0.118217,,20.2728,,Pan-STARRS1,4,,MJD,
57767.2669907,i,,,0.12,,20.27,,PS1,3,,MJD,
57767.2803184888,i,,,0.145039,,20.1596,,Pan-STARRS1,4,,MJD,
57767.2803184889,i,,,0.153994,,20.1715,,Pan-STARRS1,4,,MJD,
57767.3119192832,i,,,0.0999819,,20.2323,,Pan-STARRS1,4,,MJD,
57767.3119192832,i,,,0.103772,,20.2619,,Pan-STARRS1,4,,MJD,
57767.3255669779,i,,,0.114537,,20.1969,,Pan-STARRS1,4,,MJD,
57767.3255669779,i,,,0.118851,,20.197,,Pan-STARRS1,4,,MJD,
