time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57712.5409954,G,,,,,21.5,,Gaia,6,,MJD,True
57737.037,G,,,0.0,,17.61,,GAIA,3,,MJD,
57737.111,G,,,0.0,,17.61,,GAIA,3,,MJD,
57737.5359954,G,,,0.2,,17.56,,Gaia,6,,MJD,
57755.085,w,,,0.02,,18.53,,PS1,6,,MJD,
57755.5852349768,w,,,0.0151877,,18.5311,,Pan-STARRS1,"4,5",,MJD,
57755.5969822896,w,,,0.0152782,,18.5126,,Pan-STARRS1,"4,5",,MJD,
57755.6087240021,w,,,0.018335,,18.5387,,Pan-STARRS1,"4,5",,MJD,
57755.6205591885,w,,,0.015549,,18.5131,,Pan-STARRS1,"4,5",,MJD,
57762.356,G,,,0.0,,18.73,,GAIA,3,,MJD,
57781.5420474276,w,,,0.021471,,19.3919,,Pan-STARRS1,"4,5",,MJD,
57781.5538654867,w,,,0.0261894,,19.4033,,Pan-STARRS1,"4,5",,MJD,
57781.5657117553,w,,,0.0260401,,19.4022,,Pan-STARRS1,"4,5",,MJD,
57781.5774873848,w,,,0.0274004,,19.4244,,Pan-STARRS1,"4,5",,MJD,
57805.428007727,w,,,0.101424,,20.128,,Pan-STARRS1,"4,5",,MJD,
57805.4400134891,w,,,0.0934367,,20.1345,,Pan-STARRS1,"4,5",,MJD,
57805.4520380852,w,,,0.0906841,,20.185,,Pan-STARRS1,"4,5",,MJD,
57805.4640575392,w,,,0.0893947,,20.1234,,Pan-STARRS1,"4,5",,MJD,
57840.4552319554,w,,,0.0957959,,20.8997,,Pan-STARRS1,"4,5",,MJD,
57840.4670583486,w,,,0.107055,,21.1848,,Pan-STARRS1,"4,5",,MJD,
