time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57405.5124884,w,,,,,19.7458,,PS1,5,,MJD,
57405.5124944826,w,,,0.0330091,,19.7458,,Pan-STARRS1,"1,4",,MJD,
57405.5245521604,w,,,0.0338707,,19.7459,,Pan-STARRS1,"1,4",,MJD,
57405.5365633698,w,,,0.0296585,,19.7589,,Pan-STARRS1,"1,4",,MJD,
57405.5485796736,w,,,0.0313994,,19.7315,,Pan-STARRS1,"1,4",,MJD,
57406.6029269216,w,,,0.036533,,19.6343,,Pan-STARRS1,"1,4",,MJD,
57406.6142632314,w,,,0.0405129,,19.6491,,Pan-STARRS1,"1,4",,MJD,
57406.6256362061,w,,,0.0223784,,19.6136,,Pan-STARRS1,"1,4",,MJD,
57420.5533227487,r,,,0.0552021,,19.3065,,Pan-STARRS1,"1,4",,MJD,
57428.4817070463,w,,,0.038301,,20.0025,,Pan-STARRS1,"1,4",,MJD,
57428.4927893636,w,,,0.031047,,19.9476,,Pan-STARRS1,"1,4",,MJD,
57428.5038773669,w,,,0.0401512,,20.012,,Pan-STARRS1,"1,4",,MJD,
57428.5149749596,w,,,0.0383271,,19.9499,,Pan-STARRS1,"1,4",,MJD,
57447.4117235049,r,,,0.14336,,20.4539,,Pan-STARRS1,"1,4",,MJD,
