time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57789.36,G,,,,,21.5,,Gaia,7,,MJD,True
57794.11,V,,,,,16.8,Vega,ASASSN-2,7,,MJD,True
57798.28,V,,,0.15,,17.4,Vega,ASASSN-1,7,,MJD,
57799.2159954,V,,,0.15,,16.9,Vega,ASASSN-1,7,,MJD,
57821.3979977,G,,,0.2,,17.27,,Gaia,7,,MJD,
57821.399,G,,,0.0,,17.30,,GAIA,4,,MJD,
57821.473,G,,,0.0,,17.25,,GAIA,4,,MJD,
57861.182,G,,,0.0,,17.51,,GAIA,4,,MJD,
57861.358,G,,,0.0,,17.53,,GAIA,4,,MJD,
57870.362,G,,,0.0,,17.54,,GAIA,4,,MJD,
57870.436,G,,,0.0,,17.59,,GAIA,4,,MJD,
57970.555,G,,,0.0,,19.54,,GAIA,4,,MJD,
