time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57789.5329977,orange,,,,,19.43,,ATLAS1,4,,MJD,True
57801.4789931,orange,,,0.05,,16.92,,ATLAS1,4,,MJD,
57806.426,g,,,,,15.83502,,PS1,1,,MJD,
57806.426,i,,,,,16.30330,,PS1,1,,MJD,
57806.426,r,,,,,15.97428,,PS1,1,,MJD,
57806.426,z,,,,,16.48997,,PS1,1,,MJD,
57816.492,g,,,,,15.66030,,PS1,1,,MJD,
57816.492,i,,,,,16.30326,,PS1,1,,MJD,
57816.492,r,,,,,15.64228,,PS1,1,,MJD,
57816.492,z,,,,,16.25744,,PS1,1,,MJD,
57826.500,g,,,,,16.21220,,PS1,1,,MJD,
57826.500,i,,,,,16.75358,,PS1,1,,MJD,
57826.500,r,,,,,16.06344,,PS1,1,,MJD,
57826.500,z,,,,,16.54307,,PS1,1,,MJD,
57832.445,g,,,,,16.65605,,PS1,1,,MJD,
57832.445,i,,,,,16.78881,,PS1,1,,MJD,
57832.445,r,,,,,16.24972,,PS1,1,,MJD,
57832.445,z,,,,,16.54096,,PS1,1,,MJD,
57844.402,g,,,,,17.5879,,PS1,1,,MJD,
57844.402,i,,,,,16.78521,,PS1,1,,MJD,
57844.402,r,,,,,16.63809,,PS1,1,,MJD,
57844.402,z,,,,,16.68786,,PS1,1,,MJD,
57859.398,g,,,,,18.2223,,PS1,1,,MJD,
57859.402,i,,,,,17.5403,,PS1,1,,MJD,
57859.402,z,,,,,17.5758,,PS1,1,,MJD,
