time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57779.0239931,G,,,,,21.5,,Gaia,5,,MJD,True
57818.99,G,,,0.2,,17.15,,Gaia,5,,MJD,
57818.991,G,,,0.0,,17.21,,GAIA,3,,MJD,
57819.065,G,,,0.0,,17.22,,GAIA,3,,MJD,
57849.307,G,,,0.0,,18.49,,GAIA,3,,MJD,
57850.1062,r,,,0.0139,,17.2981,,,"4,6",,MJD,
57850.1133,r,,,0.013,,17.3841,,,"4,6",,MJD,
57850.1204,r,,,0.012,,17.4964,,,"4,6",,MJD,
57868.1106,r,,,0.0141,,17.6965,,,"4,6",,MJD,
57868.1177,r,,,0.0132,,17.7477,,,"4,6",,MJD,
57868.1248,r,,,0.0135,,17.6051,,,"4,6",,MJD,
57936.765,G,,,0.0,,20.40,,GAIA,3,,MJD,
