time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57851.244804141,i,,,0.0785102,,19.0384,,Pan-STARRS1,"3,4,5",,MJD,
57851.245,i,,,0.08,,19.04,,PS1,8,,MJD,
57851.2546908991,i,,,0.0516577,,19.0121,,Pan-STARRS1,"3,4,5",,MJD,
57851.2645181836,i,,,0.0567713,,19.0279,,Pan-STARRS1,"3,4,5",,MJD,
57851.2743687309,i,,,0.0426992,,19.0564,,Pan-STARRS1,"3,4,5",,MJD,
57858.1519676,V,,,,,17.27,Vega,ASASSN-2,8,,MJD,True
57862.1082176,V,,,0.14,,17.03,Vega,ASASSN-2,8,,MJD,
57865.2425561221,z,,,0.0494302,,17.5351,,Pan-STARRS1,"3,4,5",,MJD,
57870.2394201932,z,,,0.0625327,,17.9214,,Pan-STARRS1,"3,4,5",,MJD,
57870.2455629873,z,,,0.0499533,,17.6118,,Pan-STARRS1,"3,4,5",,MJD,
57871.2401433535,z,,,0.0408588,,17.627,,Pan-STARRS1,"3,4,5",,MJD,
