time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57844.5439931,cyan,,,,,19.48,,ATLAS1,6,,MJD,True
57859.3096912553,w,,,0.028851,,20.075,,Pan-STARRS1,"4,5",,MJD,
57859.31,w,,,0.03,,20.07,,PS1,6,,MJD,
57859.3217300056,w,,,0.0366068,,20.0089,,Pan-STARRS1,"4,5",,MJD,
57859.3337856611,w,,,0.0338736,,20.0696,,Pan-STARRS1,"4,5",,MJD,
57859.3458697413,w,,,0.030714,,20.0557,,Pan-STARRS1,"4,5",,MJD,
57863.3736690921,w,,,0.0205662,,18.6432,,Pan-STARRS1,"4,5",,MJD,
57863.384354663,w,,,0.0238286,,18.6314,,Pan-STARRS1,"4,5",,MJD,
57863.3950425852,w,,,0.0237918,,18.6627,,Pan-STARRS1,"4,5",,MJD,
57863.4057544209,w,,,0.0233633,,18.6309,,Pan-STARRS1,"4,5",,MJD,
57868.4939931,cyan,,,0.1,,17.91,,ATLAS1,6,,MJD,
57870.3153307419,w,,,0.00949849,,17.9186,,Pan-STARRS1,"4,5",,MJD,
57870.3290403155,w,,,0.00763061,,17.8863,,Pan-STARRS1,"4,5",,MJD,
57870.3427879834,w,,,0.0095607,,17.9015,,Pan-STARRS1,"4,5",,MJD,
57870.3565932973,w,,,0.0103913,,17.8885,,Pan-STARRS1,"4,5",,MJD,
