time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57892.3607016997,w,,,0.021374,,18.431,,Pan-STARRS1,"3,6",,MJD,
57892.373028894,w,,,0.0289531,,18.3977,,Pan-STARRS1,"3,6",,MJD,
57892.3853244893,w,,,0.0274682,,18.4315,,Pan-STARRS1,"3,6",,MJD,
57892.3976941961,w,,,0.0257769,,18.4228,,Pan-STARRS1,"3,6",,MJD,
57903.863,G,,,0.0,,18.70,,GAIA,5,,MJD,
57903.937,G,,,0.0,,18.71,,GAIA,5,,MJD,
57904.113,G,,,0.0,,18.74,,GAIA,5,,MJD,
57904.187,G,,,0.0,,18.73,,GAIA,5,,MJD,
57917.192,G,,,0.0,,19.21,,GAIA,5,,MJD,
57917.368,G,,,0.0,,19.26,,GAIA,5,,MJD,
