time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57922.2,G,,,,,21.5,,Gaia,3,,MJD,True
57927.36,orange,,,,,19.07,,ATLAS1,3,,MJD,True
57931.3139931,orange,,,0.03,,16.81,,ATLAS1,3,,MJD,
57956.3539931,G,,,0.2,,16.2,,Gaia,3,,MJD,
57956.355,G,,,0.0,,16.27,,GAIA,4,,MJD,
57956.429,G,,,0.0,,16.28,,GAIA,4,,MJD,
58091.884,G,,,0.0,,18.03,,GAIA,4,,MJD,
58091.958,G,,,0.0,,18.04,,GAIA,4,,MJD,
58111.137,G,,,0.0,,18.35,,GAIA,4,,MJD,
58111.211,G,,,0.0,,18.38,,GAIA,4,,MJD,
58141.124,G,,,0.0,,18.98,,GAIA,4,,MJD,
58141.198,G,,,0.0,,18.93,,GAIA,4,,MJD,
