time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57966.5,,,,,,18.5,,,"3,6",,MJD,
57967.6159954,orange,,,,,19.18,,ATLAS1,3,,MJD,True
57967.6259954,orange,,,0.16,,18.5,,ATLAS1,3,,MJD,
57987.5408978135,w,,,0.0355892,,18.7069,,Pan-STARRS1,"4,5",,MJD,
57987.5548532166,w,,,0.0370514,,18.7454,,Pan-STARRS1,"4,5",,MJD,
57987.5688216761,w,,,0.0249209,,18.6175,,Pan-STARRS1,"4,5",,MJD,
57987.582808345,w,,,0.0152314,,18.5926,,Pan-STARRS1,"4,5",,MJD,
58021.4841358406,w,,,0.0475293,,20.2358,,Pan-STARRS1,"4,5",,MJD,
58021.4969411538,w,,,0.0372523,,20.1026,,Pan-STARRS1,"4,5",,MJD,
58021.509848123,w,,,0.0369948,,20.1125,,Pan-STARRS1,"4,5",,MJD,
58021.5227530181,w,,,0.0417872,,20.1639,,Pan-STARRS1,"4,5",,MJD,
58022.4479862242,w,,,0.0339895,,20.1817,,Pan-STARRS1,"4,5",,MJD,
58022.4603372175,w,,,0.039698,,20.1629,,Pan-STARRS1,"4,5",,MJD,
58022.4729759939,w,,,0.0303436,,20.1134,,Pan-STARRS1,"4,5",,MJD,
58022.4850840904,w,,,0.0294294,,20.117,,Pan-STARRS1,"4,5",,MJD,
58025.5225633612,w,,,0.0713998,,20.3517,,Pan-STARRS1,"4,5",,MJD,
58025.5341887432,w,,,0.0407516,,20.2692,,Pan-STARRS1,"4,5",,MJD,
58025.5458161682,w,,,0.0501408,,20.2294,,Pan-STARRS1,"4,5",,MJD,
58025.5574203846,w,,,0.0730866,,20.3061,,Pan-STARRS1,"4,5",,MJD,
58037.4750743381,i,,,0.21901,,20.6692,,Pan-STARRS1,"4,5",,MJD,
58037.4874376057,i,,,0.233853,,20.5754,,Pan-STARRS1,"4,5",,MJD,
58047.5133190323,w,,,0.290393,,21.0768,,Pan-STARRS1,"4,5",,MJD,
