time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54384.381514,C,,,0.108824299519,,19.6294,,Catalina Schmidt,3,,MJD,
54384.381514,C,,,0.114498260713,,19.7703,,Catalina Schmidt,3,,MJD,
54384.39185243,C,,,0.0935235965595,,18.4981,,Catalina Schmidt,3,,MJD,
54761.35343356,C,,,0.124725672165,,19.4604,,Catalina Schmidt,3,,MJD,
54761.35870191,C,,,0.121070010591,,19.3521,,Catalina Schmidt,3,,MJD,
54761.36390567,C,,,0.101143553015,,18.8707,,Catalina Schmidt,3,,MJD,
54761.3691966,C,,,0.102429166565,,18.8965,,Catalina Schmidt,3,,MJD,
55121.45020983,C,,,0.109276859383,,19.3698,,Catalina Schmidt,3,,MJD,
55121.4615888,C,,,0.0969615263653,,19.0011,,Catalina Schmidt,3,,MJD,
55129.24967729,C,,,0.0972075676908,,19.0305,,Catalina Schmidt,3,,MJD,
55129.25640796,C,,,0.0617890051339,,16.8934,,Catalina Schmidt,3,,MJD,
55155.24615054,C,,,0.108147703407,,19.3783,,Catalina Schmidt,3,,MJD,
55155.26359198,C,,,0.0859015468868,,18.2062,,Catalina Schmidt,3,,MJD,
55209.14021182,C,,,0.130137385478,,19.862,,Catalina Schmidt,3,,MJD,
55209.14480769,C,,,0.120358462553,,19.5076,,Catalina Schmidt,3,,MJD,
55209.14480769,C,,,0.12783258589,,19.6625,,Catalina Schmidt,3,,MJD,
55209.14945135,C,,,0.111427377803,,19.4506,,Catalina Schmidt,3,,MJD,
55498.27713227,C,,,0.0712650518422,,17.5483,,Catalina Schmidt,3,,MJD,
55498.28529285,C,,,0.0664399494817,,17.1956,,Catalina Schmidt,3,,MJD,
55866.30700238,C,,,0.0814411116705,,18.563,,Catalina Schmidt,3,,MJD,
55866.32203436,C,,,0.0925767295546,,19.0255,,Catalina Schmidt,3,,MJD,
55866.32203436,C,,,0.124944163255,,19.8893,,Catalina Schmidt,3,,MJD,
55884.12873539,C,,,0.0653467759795,,16.8249,,Catalina Schmidt,3,,MJD,
55884.12873539,C,,,0.0660237349418,,16.8879,,Catalina Schmidt,3,,MJD,
55884.13451291,C,,,0.0722946514439,,17.2664,,Catalina Schmidt,3,,MJD,
55884.13451291,C,,,0.0776570584156,,17.5885,,Catalina Schmidt,3,,MJD,
55884.13451291,C,,,0.108264301716,,18.7183,,Catalina Schmidt,3,,MJD,
55884.13451291,C,,,0.112761369092,,18.832,,Catalina Schmidt,3,,MJD,
55884.14030397,C,,,0.081769096919,,18.3228,,Catalina Schmidt,3,,MJD,
55884.14610892,C,,,0.0580966355824,,16.3587,,Catalina Schmidt,3,,MJD,
55983.09726652,C,,,0.0585524084519,,16.5451,,Catalina Schmidt,3,,MJD,
55983.09726652,C,,,0.0748759428181,,18.0933,,Catalina Schmidt,3,,MJD,
56237.29991469,C,,,0.122274548846,,19.7273,,Catalina Schmidt,3,,MJD,
56237.31812596,C,,,0.102022997114,,19.212,,Catalina Schmidt,3,,MJD,
56590.34268883,C,,,0.105917462901,,18.88,,Catalina Schmidt,3,,MJD,
56590.34979926,C,,,0.0587408649771,,16.1365,,Catalina Schmidt,3,,MJD,
56590.35693678,C,,,0.118646250263,,19.1939,,Catalina Schmidt,3,,MJD,
56590.35693678,C,,,0.133849935669,,19.501,,Catalina Schmidt,3,,MJD,
56948.35116225,C,,,0.111630619725,,19.0288,,Catalina Schmidt,3,,MJD,
56948.36684914,C,,,0.115876222181,,19.1308,,Catalina Schmidt,3,,MJD,
56948.36684914,C,,,0.136131014624,,19.5423,,Catalina Schmidt,3,,MJD,
56948.36684914,C,,,0.165254367475,,19.9908,,Catalina Schmidt,3,,MJD,
56955.29698845,C,,,0.104418305194,,18.8385,,Catalina Schmidt,3,,MJD,
56955.29698845,C,,,0.13062628578,,19.4408,,Catalina Schmidt,3,,MJD,
56955.30308137,C,,,0.149164129129,,19.7591,,Catalina Schmidt,3,,MJD,
56979.19138498,C,,,0.141456249825,,19.6346,,Catalina Schmidt,3,,MJD,
56979.197447,C,,,0.0806696663638,,17.9685,,Catalina Schmidt,3,,MJD,
56979.20960056,C,,,0.123626077558,,19.3013,,Catalina Schmidt,3,,MJD,
57318.38029115,C,,,0.0671547618559,,17.5811,,Catalina Schmidt,3,,MJD,
57318.38029115,C,,,0.115734225975,,19.605,,Catalina Schmidt,3,,MJD,
57318.38537929,C,,,0.369671971664,,22.0618,,Catalina Schmidt,3,,MJD,
57318.39555546,C,,,0.100313921326,,19.2029,,Catalina Schmidt,3,,MJD,
57318.39555546,C,,,0.103902971767,,19.308,,Catalina Schmidt,3,,MJD,
57958.7989931,G,,,,,21.5,,Gaia,4,,MJD,True
57998.5698212806,w,,,0.0192052,,18.8261,,Pan-STARRS1,6,,MJD,
57998.5698212806,w,,,0.0186528,,18.8838,,Pan-STARRS1,6,,MJD,
57998.5833681548,w,,,0.0223083,,18.7992,,Pan-STARRS1,6,,MJD,
57998.5833681548,w,,,0.0225695,,18.8504,,Pan-STARRS1,6,,MJD,
57998.597047192,w,,,0.0204379,,18.7981,,Pan-STARRS1,6,,MJD,
57998.597047192,w,,,0.0201382,,18.8444,,Pan-STARRS1,6,,MJD,
57998.610612803,w,,,0.0398244,,18.7987,,Pan-STARRS1,6,,MJD,
57998.610612803,w,,,0.0391393,,18.8221,,Pan-STARRS1,6,,MJD,
57998.7059954,G,,,0.2,,18.58,,Gaia,4,,MJD,
57998.707,G,,,0.0,,18.67,,GAIA,5,,MJD,
57998.781,G,,,0.0,,18.57,,GAIA,5,,MJD,
57998.957,G,,,0.0,,18.40,,GAIA,5,,MJD,
57999.031,G,,,0.0,,18.33,,GAIA,5,,MJD,
57999.3575347,C,,,0.2,,18.9,,,4,,MJD,
58006.036,G,,,0.0,,15.15,,GAIA,5,,MJD,
58006.212,G,,,0.0,,15.10,,GAIA,5,,MJD,
58006.462,G,,,0.0,,15.04,,GAIA,5,,MJD,
58014.5400776035,w,,,0.00288181,,14.4225,,Pan-STARRS1,6,,MJD,
58014.5400776035,w,,,0.00300199,,14.456,,Pan-STARRS1,6,,MJD,
58014.552078039,w,,,0.0019117,,14.4607,,Pan-STARRS1,6,,MJD,
58014.552078039,w,,,0.00200261,,14.4682,,Pan-STARRS1,6,,MJD,
58014.5760811982,w,,,0.00302358,,14.4186,,Pan-STARRS1,6,,MJD,
58014.5760811982,w,,,0.00305667,,14.4304,,Pan-STARRS1,6,,MJD,
58023.5,C,,,0.050488167368,,14.3657,,Catalina Schmidt,3,,MJD,
58023.5,C,,,0.0505218077221,,14.404,,Catalina Schmidt,3,,MJD,
58023.5,C,,,0.0504706411402,,14.4344,,Catalina Schmidt,3,,MJD,
58023.5,C,,,0.0504704937996,,14.4356,,Catalina Schmidt,3,,MJD,
58024.5229169988,w,,,0.00325084,,14.7609,,Pan-STARRS1,6,,MJD,
58024.5229169988,w,,,0.00319478,,14.7656,,Pan-STARRS1,6,,MJD,
58024.5349125765,w,,,0.00324445,,14.7154,,Pan-STARRS1,6,,MJD,
58024.5349125765,w,,,0.00343594,,14.7784,,Pan-STARRS1,6,,MJD,
58024.5469436789,w,,,0.00259369,,14.7275,,Pan-STARRS1,6,,MJD,
58024.5469436789,w,,,0.00268508,,14.7348,,Pan-STARRS1,6,,MJD,
58024.558994689,w,,,0.00245541,,14.7484,,Pan-STARRS1,6,,MJD,
58024.558994689,w,,,0.00254862,,14.7776,,Pan-STARRS1,6,,MJD,
58026.4931579305,w,,,0.00383308,,15.0033,,Pan-STARRS1,6,,MJD,
58026.4931579305,w,,,0.00404977,,15.0138,,Pan-STARRS1,6,,MJD,
58026.505313642,w,,,0.00232296,,14.8891,,Pan-STARRS1,6,,MJD,
58026.505313642,w,,,0.00238891,,14.9052,,Pan-STARRS1,6,,MJD,
58026.5174513589,w,,,0.00282933,,14.9015,,Pan-STARRS1,6,,MJD,
58026.5174513589,w,,,0.00280195,,14.9324,,Pan-STARRS1,6,,MJD,
58026.5295592447,w,,,0.00333047,,14.9392,,Pan-STARRS1,6,,MJD,
58026.5295592447,w,,,0.00320857,,14.9396,,Pan-STARRS1,6,,MJD,
58042.5,C,,,0.0513463661684,,15.0267,,Catalina Schmidt,3,,MJD,
58042.5,C,,,0.051398647534,,15.0696,,Catalina Schmidt,3,,MJD,
58042.5,C,,,0.0514173906324,,15.074,,Catalina Schmidt,3,,MJD,
58042.5,C,,,0.0514278158728,,15.0789,,Catalina Schmidt,3,,MJD,
58044.5157575845,w,,,0.00830938,,15.6528,,Pan-STARRS1,6,,MJD,
58044.5157575845,w,,,0.00866633,,15.6831,,Pan-STARRS1,6,,MJD,
58050.5,C,,,0.0516867183178,,15.296,,Catalina Schmidt,3,,MJD,
58050.5,C,,,0.0522816939437,,15.6048,,Catalina Schmidt,3,,MJD,
58050.5,C,,,0.0523940391006,,15.6566,,Catalina Schmidt,3,,MJD,
58050.5,C,,,0.0524083342989,,15.6645,,Catalina Schmidt,3,,MJD,
58054.45259337,w,,,0.00421832,,16.1764,,Pan-STARRS1,6,,MJD,
58054.45259337,w,,,0.00372098,,16.1924,,Pan-STARRS1,6,,MJD,
58054.4652576254,w,,,0.0041177,,16.1911,,Pan-STARRS1,6,,MJD,
58054.4652576254,w,,,0.00376412,,16.2089,,Pan-STARRS1,6,,MJD,
58054.4779057606,w,,,0.00379698,,16.1933,,Pan-STARRS1,6,,MJD,
58054.4779057606,w,,,0.00404839,,16.2027,,Pan-STARRS1,6,,MJD,
58054.4905724772,w,,,0.00398621,,16.204,,Pan-STARRS1,6,,MJD,
58054.4905724772,w,,,0.0041447,,16.206,,Pan-STARRS1,6,,MJD,
58074.3948528864,w,,,0.0096175,,16.9073,,Pan-STARRS1,6,,MJD,
58074.3948528864,w,,,0.00991492,,16.9449,,Pan-STARRS1,6,,MJD,
58074.4071155688,w,,,0.00893409,,16.9074,,Pan-STARRS1,6,,MJD,
58074.4071155689,w,,,0.00917202,,16.9297,,Pan-STARRS1,6,,MJD,
58074.4194974032,w,,,0.00899235,,16.9089,,Pan-STARRS1,6,,MJD,
58074.4194974032,w,,,0.00921253,,16.9335,,Pan-STARRS1,6,,MJD,
58074.4317278849,w,,,0.00740763,,16.9062,,Pan-STARRS1,6,,MJD,
58074.4317278849,w,,,0.00757677,,16.919,,Pan-STARRS1,6,,MJD,
58074.5,C,,,0.0534829211132,,16.0746,,Catalina Schmidt,3,,MJD,
58074.5,C,,,0.0549250553922,,16.5227,,Catalina Schmidt,3,,MJD,
58074.5,C,,,0.0549828055509,,16.5303,,Catalina Schmidt,3,,MJD,
58074.5,C,,,0.0550165981857,,16.5349,,Catalina Schmidt,3,,MJD,
58081.5,C,,,0.0548646418586,,16.4858,,Catalina Schmidt,3,,MJD,
58081.5,C,,,0.0550439304768,,16.5029,,Catalina Schmidt,3,,MJD,
58081.5,C,,,0.0564905288552,,16.5919,,Catalina Schmidt,3,,MJD,
58081.5,C,,,0.0562153327343,,16.6384,,Catalina Schmidt,3,,MJD,
58096.765,G,,,0.0,,17.60,,GAIA,5,,MJD,
58096.839,G,,,0.0,,17.61,,GAIA,5,,MJD,
58097.015,G,,,0.0,,17.59,,GAIA,5,,MJD,
58097.089,G,,,0.0,,17.61,,GAIA,5,,MJD,
58098.3043171559,w,,,0.0122979,,17.5316,,Pan-STARRS1,6,,MJD,
58098.3043171559,w,,,0.0130464,,17.5599,,Pan-STARRS1,6,,MJD,
58098.3165873885,w,,,0.0126969,,17.5328,,Pan-STARRS1,6,,MJD,
58098.3165873885,w,,,0.0129233,,17.5691,,Pan-STARRS1,6,,MJD,
58098.3288396826,w,,,0.0116163,,17.5366,,Pan-STARRS1,6,,MJD,
58098.3288396826,w,,,0.0117849,,17.5544,,Pan-STARRS1,6,,MJD,
58098.3411176065,w,,,0.00871144,,17.531,,Pan-STARRS1,6,,MJD,
58098.3411176065,w,,,0.00905231,,17.5566,,Pan-STARRS1,6,,MJD,
58103.5,C,,,0.0567238628259,,16.9171,,Catalina Schmidt,3,,MJD,
58103.5,C,,,0.0572037672482,,17.0098,,Catalina Schmidt,3,,MJD,
58103.5,C,,,0.0572339743442,,17.0217,,Catalina Schmidt,3,,MJD,
58103.5,C,,,0.0572030246383,,17.0241,,Catalina Schmidt,3,,MJD,
58107.343,G,,,0.0,,17.90,,GAIA,5,,MJD,
58107.519,G,,,0.0,,17.85,,GAIA,5,,MJD,
58107.593,G,,,0.0,,17.87,,GAIA,5,,MJD,
58111.5,C,,,0.0547743105052,,15.4546,,Catalina Schmidt,3,,MJD,
58111.5,C,,,0.0546794855826,,15.6643,,Catalina Schmidt,3,,MJD,
58111.5,C,,,0.0555806649779,,16.0154,,Catalina Schmidt,3,,MJD,
58111.5,C,,,0.0668918153099,,16.5117,,Catalina Schmidt,3,,MJD,
58129.2185855577,w,,,0.0266094,,18.4653,,Pan-STARRS1,6,,MJD,
58129.2312477984,w,,,0.0311556,,18.4708,,Pan-STARRS1,6,,MJD,
58129.2439100966,w,,,0.0318331,,18.4889,,Pan-STARRS1,6,,MJD,
58129.2565857717,w,,,0.0472814,,18.5883,,Pan-STARRS1,6,,MJD,
58143.242,G,,,0.0,,18.71,,GAIA,5,,MJD,
58146.5,C,,,0.058937405225,,16.4774,,Catalina Schmidt,3,,MJD,
58146.5,C,,,0.0655761130181,,16.9578,,Catalina Schmidt,3,,MJD,
58146.5,C,,,0.0647618166292,,17.8338,,Catalina Schmidt,3,,MJD,
58146.5,C,,,0.0731695471648,,17.9693,,Catalina Schmidt,3,,MJD,
58153.5,C,,,0.0667585571943,,18.0803,,Catalina Schmidt,3,,MJD,
58153.5,C,,,0.0671477457721,,18.1492,,Catalina Schmidt,3,,MJD,
58153.5,C,,,0.0688918761439,,18.2794,,Catalina Schmidt,3,,MJD,
58153.5,C,,,0.0699272970827,,18.3688,,Catalina Schmidt,3,,MJD,
58283.361,G,,,0.0,,20.83,,GAIA,5,,MJD,
58352.5625177111,w,,,0.137207,,21.7303,,Pan-STARRS1,6,,MJD,
58352.5625177111,w,,,0.14182,,21.8184,,Pan-STARRS1,6,,MJD,
58352.5874369371,w,,,0.156965,,21.8609,,Pan-STARRS1,6,,MJD,
58352.5874369371,w,,,0.181502,,21.9389,,Pan-STARRS1,6,,MJD,
58352.5999650425,w,,,0.136022,,21.9062,,Pan-STARRS1,6,,MJD,
58352.5999650425,w,,,0.156696,,21.9187,,Pan-STARRS1,6,,MJD,
