time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57950.4869907,G,,,,,21.5,,Gaia,8,,MJD,True
58014.48,V,,,,,18,Vega,ASASSN-1,8,,MJD,True
58018.3825786765,w,,,0.0140516,,17.4011,,Pan-STARRS1,"3,5",,MJD,
58018.3829977,w,,,0.01,,17.4,,PS1,8,,MJD,
58018.3936097659,w,,,0.0133248,,17.3761,,Pan-STARRS1,"3,5",,MJD,
58018.4046453336,w,,,0.0128604,,17.3576,,Pan-STARRS1,"3,5",,MJD,
58018.4156785671,w,,,0.0135882,,17.3705,,Pan-STARRS1,"3,5",,MJD,
58019.48,V,,,,,17.1,Vega,ASASSN-1,8,,MJD,
58024.4284546045,w,,,0.00634179,,16.4918,,Pan-STARRS1,"3,5",,MJD,
58024.4402285651,w,,,0.00477591,,16.3148,,Pan-STARRS1,"3,5",,MJD,
58024.4637303032,w,,,0.00416245,,16.3488,,Pan-STARRS1,"3,5",,MJD,
58045.3471123959,w,,,0.0128001,,16.9747,,Pan-STARRS1,"3,5",,MJD,
58045.3787835739,w,,,0.0158296,,16.9698,,Pan-STARRS1,"3,5",,MJD,
58070.2806976627,w,,,0.0155227,,18.099,,Pan-STARRS1,"3,5",,MJD,
58070.2926584263,w,,,0.0159137,,18.1517,,Pan-STARRS1,"3,5",,MJD,
58070.3047232208,w,,,0.0162471,,18.1028,,Pan-STARRS1,"3,5",,MJD,
58070.3166926154,w,,,0.0164575,,18.1266,,Pan-STARRS1,"3,5",,MJD,
58087.5229977,G,,,0.2,,18.4,,Gaia,8,,MJD,
58087.524,G,,,0.0,,18.57,,GAIA,4,,MJD,
58087.598,G,,,0.0,,18.60,,GAIA,4,,MJD,
58116.331,G,,,0.0,,19.28,,GAIA,4,,MJD,
58137.005,G,,,0.0,,19.64,,GAIA,4,,MJD,
58137.079,G,,,0.0,,19.63,,GAIA,4,,MJD,
