time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58053.3499884,V,,,,,17.4,Vega,ASASSN-2,6,,MJD,True
58070.33,V,,,,,16.4,Vega,ASASSN-2,6,,MJD,
58115.5159954,i,,,0.03,,18.49,,PS1,6,,MJD,
58115.5163261164,i,,,0.0295869,,18.4868,,Pan-STARRS1,"3,4",,MJD,
58115.5163261164,i,,,0.0293468,,18.4908,,Pan-STARRS1,"3,4",,MJD,
58115.5282245417,i,,,0.0276861,,18.5018,,Pan-STARRS1,"3,4",,MJD,
58115.5282245417,i,,,0.0274135,,18.5108,,Pan-STARRS1,"3,4",,MJD,
58115.5401400151,i,,,0.0305742,,18.4804,,Pan-STARRS1,"3,4",,MJD,
58115.5401400151,i,,,0.0302319,,18.4858,,Pan-STARRS1,"3,4",,MJD,
58115.552069034,i,,,0.0480014,,18.4791,,Pan-STARRS1,"3,4",,MJD,
58115.552069034,i,,,0.0466217,,18.4894,,Pan-STARRS1,"3,4",,MJD,
58126.5499267457,i,,,0.0692385,,18.9542,,Pan-STARRS1,"3,4",,MJD,
58126.5499267457,i,,,0.0703574,,18.9554,,Pan-STARRS1,"3,4",,MJD,
58126.5606160666,i,,,0.0487111,,18.9223,,Pan-STARRS1,"3,4",,MJD,
58126.5606160666,i,,,0.0462398,,18.9333,,Pan-STARRS1,"3,4",,MJD,
58126.5713262911,i,,,0.0578911,,18.9627,,Pan-STARRS1,"3,4",,MJD,
58126.5713262911,i,,,0.0557748,,18.9718,,Pan-STARRS1,"3,4",,MJD,
58126.5821156092,i,,,0.056822,,18.8952,,Pan-STARRS1,"3,4",,MJD,
58126.5821156092,i,,,0.0535965,,18.9115,,Pan-STARRS1,"3,4",,MJD,
