time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58084.9759954,G,,,,,21.5,,Gaia,3,,MJD,True
58109.4745949,C,,,,,20,,,3,,MJD,True
58116.5558926865,i,,,0.0303936,,18.2766,,Pan-STARRS1,"5,6",,MJD,
58116.5559954,i,,,0.03,,18.28,,PS1,3,,MJD,
58116.5672616105,i,,,0.0176956,,18.2688,,Pan-STARRS1,"5,6",,MJD,
58116.5786203151,i,,,0.0179771,,18.2401,,Pan-STARRS1,"5,6",,MJD,
58116.5899808085,i,,,0.0152691,,18.2694,,Pan-STARRS1,"5,6",,MJD,
58118.4527431,C,,,0.2,,18.5,,,3,,MJD,
58120.1319907,G,,,0.2,,17.53,,Gaia,3,,MJD,
58120.133,G,,,0.0,,17.69,,GAIA,4,,MJD,
58120.207,G,,,0.0,,17.69,,GAIA,4,,MJD,
58130.207,B,,,0.0618744,,17.0346,,,"7,8",,MJD,
58130.2115,V,,,0.0260135,,16.2424,,,"7,8",,MJD,
58130.2161,R,,,0.0188699,,15.9957,,,"7,8",,MJD,
58131.5163064586,w,,,0.0157578,,17.3641,,Pan-STARRS1,"5,6",,MJD,
58131.5280690365,w,,,0.0147204,,17.3787,,Pan-STARRS1,"5,6",,MJD,
58131.5398671912,w,,,0.0135711,,17.3739,,Pan-STARRS1,"5,6",,MJD,
58131.5517248429,w,,,0.0152633,,17.3824,,Pan-STARRS1,"5,6",,MJD,
58131.639,G,,,0.0,,17.49,,GAIA,4,,MJD,
58131.713,G,,,0.0,,17.50,,GAIA,4,,MJD,
58131.889,G,,,0.0,,17.51,,GAIA,4,,MJD,
58138.5643836312,w,,,0.00826416,,17.7497,,Pan-STARRS1,"5,6",,MJD,
58138.5763955106,w,,,0.00931946,,17.7644,,Pan-STARRS1,"5,6",,MJD,
58138.5884080245,w,,,0.00892013,,17.7443,,Pan-STARRS1,"5,6",,MJD,
58138.6004185533,w,,,0.0137465,,17.8199,,Pan-STARRS1,"5,6",,MJD,
58140.1782,B,,,,,19.168,,,"7,8",,MJD,
58140.1828,V,,,,,19.7255,,,"7,8",,MJD,
58140.1876,R,,,0.0319273,,16.9795,,,"7,8",,MJD,
58144.1945,B,,,,,20.32,,,"7,8",,MJD,
58144.1976,V,,,,,19.3517,,,"7,8",,MJD,
58170.4436714072,w,,,0.0464276,,19.5067,,Pan-STARRS1,"5,6",,MJD,
58170.4443893667,w,,,0.0483603,,19.4916,,Pan-STARRS1,"5,6",,MJD,
58170.4572206464,w,,,0.0450124,,19.5461,,Pan-STARRS1,"5,6",,MJD,
58170.469418169,w,,,0.052927,,19.4933,,Pan-STARRS1,"5,6",,MJD,
58170.4701676825,w,,,0.068528,,19.5979,,Pan-STARRS1,"5,6",,MJD,
58170.4822976064,w,,,0.0659192,,19.5416,,Pan-STARRS1,"5,6",,MJD,
58170.4830631981,w,,,0.0743177,,19.6574,,Pan-STARRS1,"5,6",,MJD,
58188.3787223367,w,,,0.0807437,,20.23,,Pan-STARRS1,"5,6",,MJD,
58188.3899255818,w,,,0.2714,,20.1811,,Pan-STARRS1,"5,6",,MJD,
58188.4011568394,w,,,0.190677,,20.4005,,Pan-STARRS1,"5,6",,MJD,
58188.4123641437,w,,,0.247402,,20.1951,,Pan-STARRS1,"5,6",,MJD,
58197.3473797897,w,,,0.138907,,20.4889,,Pan-STARRS1,"5,6",,MJD,
58197.3599095611,w,,,0.221076,,20.671,,Pan-STARRS1,"5,6",,MJD,
