time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58071.6919907,G,,,,,21.5,,Gaia,5,,MJD,True
58106.5889931,G,,,0.2,,18.74,,Gaia,5,,MJD,
58106.590,G,,,0.0,,18.89,,GAIA,3,,MJD,
58127.162,G,,,0.0,,18.41,,GAIA,3,,MJD,
58127.338,G,,,0.0,,18.48,,GAIA,3,,MJD,
58166.288,G,,,0.0,,19.67,,GAIA,3,,MJD,
58272.9418,B,,,,,20.6643,,,"4,6",,MJD,
58272.9451,V,,,,,20.5314,,,"4,6",,MJD,
58272.9477,r,,,,,20.8586,,,"4,6",,MJD,
58273.9692,B,,,,,20.5694,,,"4,6",,MJD,
58273.9724,V,,,,,20.7643,,,"4,6",,MJD,
58273.9749,r,,,,,20.3988,,,"4,6",,MJD,
58274.9242,B,,,,,20.8412,,,"4,6",,MJD,
58274.9274,V,,,,,20.7626,,,"4,6",,MJD,
58274.93,r,,,,,20.6401,,,"4,6",,MJD,
58275.8975,B,,,,,20.4996,,,"4,6",,MJD,
58275.9007,V,,,,,20.663,,,"4,6",,MJD,
58275.9032,r,,,,,20.837,,,"4,6",,MJD,
