time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57767.61,orange,,,,,18.53,,ATLAS1,4,,MJD,True
57767.6259954,orange,,,0.2,,18.28,,ATLAS1,4,,MJD,
57781.590,g,,,,,16.88770,,PS1,1,,MJD,
57781.590,i,,,,,17.44630,,PS1,1,,MJD,
57781.590,r,,,,,16.86212,,PS1,1,,MJD,
57781.594,z,,,,,17.5632,,PS1,1,,MJD,
57783.531,g,,,,,17.00570,,PS1,1,,MJD,
57783.531,i,,,,,17.5874,,PS1,1,,MJD,
57783.531,r,,,,,17.04389,,PS1,1,,MJD,
57783.531,z,,,,,17.6706,,PS1,1,,MJD,
57787.559,g,,,,,17.32963,,PS1,1,,MJD,
57787.559,i,,,,,17.9912,,PS1,1,,MJD,
57787.559,r,,,,,17.25149,,PS1,1,,MJD,
57787.559,z,,,,,17.7514,,PS1,1,,MJD,
57801.508,g,,,,,18.8958,,PS1,1,,MJD,
57801.512,i,,,,,17.9166,,PS1,1,,MJD,
57801.512,r,,,,,17.9732,,PS1,1,,MJD,
57801.512,z,,,,,17.8411,,PS1,1,,MJD,
57809.484,g,,,,,19.5274,,PS1,1,,MJD,
57809.484,i,,,,,18.6832,,PS1,1,,MJD,
57809.484,r,,,,,18.6210,,PS1,1,,MJD,
57809.484,z,,,,,18.5800,,PS1,1,,MJD,
57817.469,g,,,,,19.8936,,PS1,1,,MJD,
57817.469,i,,,,,19.0148,,PS1,1,,MJD,
57817.469,r,,,,,18.8922,,PS1,1,,MJD,
57817.469,z,,,,,19.2634,,PS1,1,,MJD,
57828.414,i,,,,,19.4327,,PS1,1,,MJD,
57828.422,i,,,,,19.4473,,PS1,1,,MJD,
57828.434,i,,,,,19.4245,,PS1,1,,MJD,
57828.441,i,,,,,19.3659,,PS1,1,,MJD,
57828.445,g,,,,,19.9698,,PS1,1,,MJD,
57828.449,i,,,,,19.4729,,PS1,1,,MJD,
57828.449,r,,,,,19.5235,,PS1,1,,MJD,
57828.449,z,,,,,19.7570,,PS1,1,,MJD,
