time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57640.4159954,G,,,,,21.5,,Gaia,5,,MJD,True
57775.885,G,,,0.2,,18.47,,Gaia,5,,MJD,
57775.886,G,,,0.0,,18.55,,GAIA,3,,MJD,
57775.960,G,,,0.0,,18.52,,GAIA,3,,MJD,
57779.3239931,w,,,0.02,,18.67,,PS1,5,,MJD,
57779.3239937993,w,,,0.021414,,18.6679,,Pan-STARRS1,4,,MJD,
57779.337061943,w,,,0.0193435,,18.6685,,Pan-STARRS1,4,,MJD,
57779.3500630908,w,,,0.0281991,,18.6422,,Pan-STARRS1,4,,MJD,
57779.3629385276,w,,,0.0188198,,18.6747,,Pan-STARRS1,4,,MJD,
57797.014,G,,,0.0,,19.42,,GAIA,3,,MJD,
57797.190,G,,,0.0,,19.39,,GAIA,3,,MJD,
