time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58130.94,G,,,,,21.5,,Gaia,4,,MJD,True
58225.4709954,G,,,0.2,,18.19,,Gaia,4,,MJD,
58225.472,G,,,0.0,,18.31,,GAIA,2,,MJD,
58225.546,G,,,0.0,,18.33,,GAIA,2,,MJD,
58234.088,R,,,0.0891944,,17.8901,,,"3,5",,MJD,
58238.050,G,,,0.0,,18.86,,GAIA,2,,MJD,
58238.226,G,,,0.0,,18.86,,GAIA,2,,MJD,
58247.9676,r,,,,,18.9826,,,"3,5",,MJD,
58247.9714,R,,,0.194889,,19.1398,,,"3,5",,MJD,
58315.170,G,,,0.0,,20.64,,GAIA,2,,MJD,
58329.176,G,,,0.0,,20.87,,GAIA,2,,MJD,
58329.250,G,,,0.0,,20.83,,GAIA,2,,MJD,
58329.500,G,,,0.0,,20.80,,GAIA,2,,MJD,
