time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58207.47,orange,,,,,17.87,,ATLAS1,7,,MJD,True
58207.5,o,,,0.25,,18.73,,,1,,MJD,
58219.5,o,,,0.21,,18.4,,,1,,MJD,
58219.52,orange,,,0.141,,18.512,,ATLAS1,7,,MJD,
58223.5,o,,,0.21,,18.26,,,1,,MJD,
58225.5,c,,,0.19,,18.44,,,1,,MJD,
58228,r,,,0.14,,17.32,,,1,,MJD,
58228,u,,,0.13,,19.07,,,1,,MJD,
58228,v,,,0.05,,18.41,,,1,,MJD,
58229,g,,,0.32,,18.12,,,1,,MJD,
58229.5,o,,,0.04,,18.16,,,1,,MJD,
58233.5,o,,,0.06,,18.06,,,1,,MJD,
58245.5,o,,,0.12,,17.78,,,1,,MJD,
58247.4,o,,,0.33,,17.22,,,1,,MJD,
58250.5,c,,,0.14,,17.71,,,1,,MJD,
58251.0,g,,,,,17.5,,ASASSN-4,7,,MJD,True
58251.4,o,,,0.09,,17.31,,,1,,MJD,
58255.0,g,,,,,17.3,,ASASSN-5,7,,MJD,
58255.4,o,,,0.13,,16.5,,,1,,MJD,
58257,g,,,0.05,,16.17,,,1,,MJD,
58257,i,,,0.05,,15.95,,,1,,MJD,
58257,r,,,0.05,,16.07,,,1,,MJD,
58257,u,,,0.03,,16.38,,,1,,MJD,
58257,v,,,0.03,,16.13,,,1,,MJD,
58257,z,,,0.06,,15.98,,,1,,MJD,
58257.4,c,,,0.03,,16.75,,,1,,MJD,
58259.4,o,,,0.03,,16.02,,,1,,MJD,
58261.4,o,,,0.02,,15.78,,,1,,MJD,
58261.8,B,,,0.01,,15.94,,,1,,MJD,
58261.8,U,,,0.01,,15.65,,,1,,MJD,
58261.8,V,,,0.02,,15.8,,,1,,MJD,
58261.8,g,,,0.05,,15.86,,,1,,MJD,
58261.8,i,,,0.01,,15.57,,,1,,MJD,
58261.8,r,,,0.01,,15.77,,,1,,MJD,
58263.4,o,,,0.06,,15.58,,,1,,MJD,
58263.8,B,,,0.02,,15.71,,,1,,MJD,
58263.8,U,,,0.03,,15.32,,,1,,MJD,
58263.8,V,,,0.03,,15.71,,,1,,MJD,
58263.8,g,,,0.04,,15.67,,,1,,MJD,
58264,i,,,0.02,,15.4,,,1,,MJD,
58264,r,,,0.02,,15.59,,,1,,MJD,
58264.6,B,,,0.01,,15.77,,,1,,MJD,
58264.6,U,,,0.01,,15.36,,,1,,MJD,
58264.6,V,,,0.02,,15.58,,,1,,MJD,
58266.8,g,,,0.05,,15.69,,,1,,MJD,
58266.9,r,,,0.04,,15.66,,,1,,MJD,
58269.8,b,,,0.04,,15.97,,,1,,MJD,
58269.8,m2,,,0.05,,17.19,,,1,,MJD,
58269.8,u,,,0.04,,15.97,,,1,,MJD,
58269.8,v,,,0.06,,15.61,,,1,,MJD,
58269.8,w1,,,0.05,,16.5,,,1,,MJD,
58269.8,w2,,,0.05,,17.73,,,1,,MJD,
58270.1,H,,,0.12,,14.26,,,1,,MJD,
58270.1,J,,,0.11,,14.64,,,1,,MJD,
58270.1,K,,,0.15,,14.16,,,1,,MJD,
58270.5,g,,,0.02,,15.8,,,1,,MJD,
58270.5,r,,,0.01,,15.63,,,1,,MJD,
58270.6,B,,,0.01,,15.99,,,1,,MJD,
58270.6,U,,,0.05,,15.77,,,1,,MJD,
58270.6,V,,,0.03,,15.89,,,1,,MJD,
58270.6,i,,,0.01,,15.41,,,1,,MJD,
58271.2,H,,,0.11,,14.25,,,1,,MJD,
58271.2,J,,,0.11,,14.59,,,1,,MJD,
58271.2,K,,,0.14,,14.08,,,1,,MJD,
58271.5,o,,,0.03,,15.68,,,1,,MJD,
58272.3,H,,,0.11,,14.26,,,1,,MJD,
58272.3,J,,,0.11,,14.59,,,1,,MJD,
58272.3,K,,,0.14,,14.05,,,1,,MJD,
58273.2,H,,,0.11,,14.27,,,1,,MJD,
58273.2,J,,,0.11,,14.62,,,1,,MJD,
58273.2,K,,,0.14,,14.09,,,1,,MJD,
58273.4,o,,,0.01,,15.71,,,1,,MJD,
58273.5,B,,,0.01,,16.08,,,1,,MJD,
58273.5,U,,,0.01,,15.83,,,1,,MJD,
58273.5,V,,,0.01,,15.88,,,1,,MJD,
58273.5,g,,,0.01,,15.98,,,1,,MJD,
58273.5,i,,,0.01,,15.41,,,1,,MJD,
58273.8,r,,,0.01,,15.71,,,1,,MJD,
58274.2,H,,,0.11,,14.21,,,1,,MJD,
58274.2,J,,,0.11,,14.59,,,1,,MJD,
58274.2,K,,,0.14,,13.99,,,1,,MJD,
58274.5,B,,,0.01,,16.18,,,1,,MJD,
58274.5,U,,,0.02,,15.84,,,1,,MJD,
58274.5,V,,,0.01,,15.96,,,1,,MJD,
58275.2,H,,,0.12,,14.27,,,1,,MJD,
58275.2,J,,,0.11,,14.64,,,1,,MJD,
58275.2,K,,,0.15,,14.04,,,1,,MJD,
58275.3,B,,,0.01,,16.18,,,1,,MJD,
58275.3,U,,,0.03,,16,,,1,,MJD,
58275.3,V,,,0.01,,16.03,,,1,,MJD,
58275.3,g,,,0.01,,16.1,,,1,,MJD,
58275.3,i,,,0.01,,15.51,,,1,,MJD,
58275.3,r,,,0.01,,15.8,,,1,,MJD,
58275.4,o,,,0.02,,16.16,,,1,,MJD,
58276.2,H,,,0.12,,14.29,,,1,,MJD,
58276.2,J,,,0.11,,14.67,,,1,,MJD,
58276.2,K,,,0.15,,14.09,,,1,,MJD,
58276.2,b,,,0.04,,15.98,,,1,,MJD,
58276.2,m2,,,0.05,,17.33,,,1,,MJD,
58276.2,u,,,0.04,,16.17,,,1,,MJD,
58276.2,v,,,0.06,,15.76,,,1,,MJD,
58276.2,w1,,,0.05,,16.61,,,1,,MJD,
58276.2,w2,,,0.05,,17.75,,,1,,MJD,
