time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58274.92,G,,,,,21.5,,Gaia,5,,MJD,True
58291.2439931,C,,,,,19.3758,,,5,,MJD,True
58292.36,C,,,0.06,,17.4431,,,5,,MJD,
58333.3389931,G,,,0.2,,16.85,,Gaia,5,,MJD,
58333.340,G,,,0.0,,16.85,,GAIA,4,,MJD,
58333.414,G,,,0.0,,16.82,,GAIA,4,,MJD,
58333.590,G,,,0.0,,16.82,,GAIA,4,,MJD,
58333.664,G,,,0.0,,16.82,,GAIA,4,,MJD,
58333.840,G,,,0.0,,16.82,,GAIA,4,,MJD,
58333.914,G,,,0.0,,16.83,,GAIA,4,,MJD,
58348.097,G,,,0.0,,16.82,,GAIA,4,,MJD,
58348.171,G,,,0.0,,16.83,,GAIA,4,,MJD,
58348.348,G,,,0.0,,16.85,,GAIA,4,,MJD,
58348.422,G,,,0.0,,16.84,,GAIA,4,,MJD,
58348.598,G,,,0.0,,16.85,,GAIA,4,,MJD,
58392.829,G,,,0.0,,17.57,,GAIA,4,,MJD,
58392.903,G,,,0.0,,17.55,,GAIA,4,,MJD,
58425.307,G,,,0.0,,19.00,,GAIA,4,,MJD,
58425.381,G,,,0.0,,18.94,,GAIA,4,,MJD,
58446.803,G,,,0.0,,19.14,,GAIA,4,,MJD,
58446.877,G,,,0.0,,19.16,,GAIA,4,,MJD,
58490.493,G,,,0.0,,19.46,,GAIA,4,,MJD,
58490.567,G,,,0.0,,19.47,,GAIA,4,,MJD,
58490.743,G,,,0.0,,19.42,,GAIA,4,,MJD,
58490.817,G,,,0.0,,19.45,,GAIA,4,,MJD,
58490.994,G,,,0.0,,19.47,,GAIA,4,,MJD,
58494.746,G,,,0.0,,19.45,,GAIA,4,,MJD,
58494.820,G,,,0.0,,19.50,,GAIA,4,,MJD,
58494.996,G,,,0.0,,19.56,,GAIA,4,,MJD,
58495.070,G,,,0.0,,19.47,,GAIA,4,,MJD,
58495.246,G,,,0.0,,19.42,,GAIA,4,,MJD,
58495.320,G,,,0.0,,19.49,,GAIA,4,,MJD,
58540.754,G,,,0.0,,19.91,,GAIA,4,,MJD,
58557.007,G,,,0.0,,20.08,,GAIA,4,,MJD,
58593.654,G,,,0.0,,20.42,,GAIA,4,,MJD,
