time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58303.415,g,,,,,20.04,,P48,3,,MJD,True
58306.325,g,,,,,20.19,,P48,3,,MJD,
58312.45,cyan,,,,,19.73,,ATLAS1,3,,MJD,True
58318.4009954,orange,,,0.154,,18.837,,ATLAS1,3,,MJD,
58322.2829977,r,,,,,18.81,,P48,3,,MJD,
58325.5029977,z,,,0.06,,18.83,,PS1,3,,MJD,
58325.5030877992,z,,,0.0609799,,18.828,,Pan-STARRS1,4,,MJD,
58325.5167598324,z,,,0.0602749,,18.8577,,Pan-STARRS1,4,,MJD,
58325.5304003352,z,,,0.0816297,,18.8171,,Pan-STARRS1,4,,MJD,
58325.5440781155,z,,,0.087598,,18.8535,,Pan-STARRS1,4,,MJD,
