time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58231.5272222,C,,,,,18.5,Vega,,3,,MJD,True
58290.9039931,G,,,,,21.5,,Gaia,3,,MJD,True
58322.493125,C,,,0.2,,16.5,Vega,,3,,MJD,
58331.88,G,,,0.2,,17.04,,Gaia,3,,MJD,
58331.881,G,,,0.0,,17.04,,GAIA,4,,MJD,
58331.955,G,,,0.0,,17.05,,GAIA,4,,MJD,
58333.27,cyan,,,,,19.32,,ATLAS1,3,,MJD,True
58337.2439931,cyan,,,0.132,,17.027,,ATLAS1,3,,MJD,
58370.099,G,,,0.0,,17.46,,GAIA,4,,MJD,
58370.173,G,,,0.0,,17.44,,GAIA,4,,MJD,
58381.353,G,,,0.0,,17.49,,GAIA,4,,MJD,
58381.427,G,,,0.0,,17.49,,GAIA,4,,MJD,
58381.603,G,,,0.0,,17.47,,GAIA,4,,MJD,
58381.677,G,,,0.0,,17.50,,GAIA,4,,MJD,
58475.695,G,,,0.0,,19.90,,GAIA,4,,MJD,
58475.769,G,,,0.0,,19.97,,GAIA,4,,MJD,
