time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58196.0819907,G,,,,,21.5,,Gaia,3,,MJD,True
58312.21,r,,,,,20.56,,P48,3,,MJD,True
58336.3639931,orange,,,,,19.3,,ATLAS1,3,,MJD,True
58337.1829977,g,,,,,19.07,,P48,3,,MJD,
58338.3429977,cyan,,,0.051,,18.4,,ATLAS1,3,,MJD,
58342.9009954,G,,,0.2,,17.28,,Gaia,3,,MJD,
58342.902,G,,,0.0,,17.28,,GAIA,4,,MJD,
58342.976,G,,,0.0,,17.24,,GAIA,4,,MJD,
58343.1689931,g,,,,,17.05,,P48,3,,MJD,
58374.459,G,,,0.0,,17.69,,GAIA,4,,MJD,
58396.136,G,,,0.0,,18.55,,GAIA,4,,MJD,
58396.210,G,,,0.0,,18.59,,GAIA,4,,MJD,
