time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58264.14,G,,,,,21.5,,Gaia,3,,MJD,True
58345.4289931,cyan,,,,,18.66,,ATLAS1,3,,MJD,True
58347.3989931,orange,,,0.163,,18.584,,ATLAS1,3,,MJD,
58368.2719907,r,,,,,17.62,,P48,3,,MJD,
58371.2929977,r,,,,,17.68,,P48,3,,MJD,
58402.8509954,G,,,0.2,,18.96,,Gaia,3,,MJD,
58402.852,G,,,0.0,,18.96,,GAIA,4,,MJD,
58402.926,G,,,0.0,,18.97,,GAIA,4,,MJD,
58432.159,G,,,0.0,,19.47,,GAIA,4,,MJD,
58432.335,G,,,0.0,,19.53,,GAIA,4,,MJD,
58453.083,G,,,0.0,,19.77,,GAIA,4,,MJD,
58453.157,G,,,0.0,,19.80,,GAIA,4,,MJD,
