time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58349.8589931,G,,,,,21.5,,Gaia,3,,MJD,True
58367.6419907,orange,,,,,18.19,,ATLAS1,3,,MJD,True
58369.6029977,orange,,,0.09,,18.102,,ATLAS1,3,,MJD,
58374.7819907,G,,,0.2,,17.35,,Gaia,3,,MJD,
58374.783,G,,,0.0,,17.35,,GAIA,4,,MJD,
58406.095,G,,,0.0,,18.05,,GAIA,4,,MJD,
58409.5356,V,,,0.0823882,,18.2863,,,"5,6",,MJD,
58409.5378,i,,,0.1192,,18.2347,,,"5,6",,MJD,
58409.5509,V,,,0.0940135,,18.3054,,,"5,6",,MJD,
58409.5636,i,,,0.536374,,18.7378,,,"5,6",,MJD,
58452.007,G,,,0.0,,19.62,,GAIA,4,,MJD,
58452.081,G,,,0.0,,19.63,,GAIA,4,,MJD,
58452.257,G,,,0.0,,19.65,,GAIA,4,,MJD,
58452.331,G,,,0.0,,19.63,,GAIA,4,,MJD,
58452.507,G,,,0.0,,19.63,,GAIA,4,,MJD,
58452.581,G,,,0.0,,19.66,,GAIA,4,,MJD,
58465.764,G,,,0.0,,19.92,,GAIA,4,,MJD,
58465.838,G,,,0.0,,20.03,,GAIA,4,,MJD,
58466.014,G,,,0.0,,20.00,,GAIA,4,,MJD,
58466.088,G,,,0.0,,19.98,,GAIA,4,,MJD,
58466.265,G,,,0.0,,20.03,,GAIA,4,,MJD,
