time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58097.9169907,G,,,,,21.5,,Gaia,7,,MJD,True
58128.65,V,,,,,17.8,Vega,ASASSN-1,7,,MJD,True
58131.64,V,,,,,16.6,Vega,ASASSN-1,7,,MJD,
58135.1509954,G,,,0.2,,16.24,,Gaia,7,,MJD,
58135.152,G,,,0.0,,16.39,,GAIA,4,,MJD,
58135.328,G,,,0.0,,16.40,,GAIA,4,,MJD,
58166.886,G,,,0.0,,17.09,,GAIA,4,,MJD,
58191.630,G,,,0.0,,18.51,,GAIA,4,,MJD,
58231.261,G,,,0.0,,19.75,,GAIA,4,,MJD,
58231.335,G,,,0.0,,19.66,,GAIA,4,,MJD,
