time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58261.5109954,G,,,,,21.5,,Gaia,3,,MJD,True
58372.5159954,r,,,,,18.69,,P48,3,,MJD,
58375.515,r,,,,,18.62,,P48,3,,MJD,
58400.9759954,G,,,0.2,,18.68,,Gaia,3,,MJD,
58400.977,G,,,0.0,,18.68,,GAIA,4,,MJD,
58401.051,G,,,0.0,,18.64,,GAIA,4,,MJD,
58429.5069097,r,,,0.0722572,,18.7231,,P48,3,,MJD,
58432.3866319,r,,,0.0778961,,18.7365,,P48,3,,MJD,
58432.5078819,r,,,0.0907179,,18.8743,,P48,3,,MJD,
58433.960,G,,,0.0,,19.00,,GAIA,4,,MJD,
58434.034,G,,,0.0,,18.98,,GAIA,4,,MJD,
58449.965,G,,,0.0,,19.27,,GAIA,4,,MJD,
58450.039,G,,,0.0,,19.27,,GAIA,4,,MJD,
58466.5610332661,w,,,0.0247345,,19.3331,,Pan-STARRS1,5,,MJD,
58466.5617339398,w,,,0.0378789,,19.409,,Pan-STARRS1,5,,MJD,
58466.5746528831,w,,,0.0325693,,19.3523,,Pan-STARRS1,5,,MJD,
58466.5753816939,w,,,0.04219,,19.4107,,Pan-STARRS1,5,,MJD,
58466.5886088729,w,,,0.0316279,,19.3281,,Pan-STARRS1,5,,MJD,
58466.5893492378,w,,,0.0362057,,19.4325,,Pan-STARRS1,5,,MJD,
58466.6023639044,w,,,0.0371235,,19.339,,Pan-STARRS1,5,,MJD,
58466.6031147251,w,,,0.0462548,,19.3995,,Pan-STARRS1,5,,MJD,
58486.5341063637,w,,,0.0248342,,19.679,,Pan-STARRS1,5,,MJD,
58486.5463844492,w,,,0.034636,,19.6706,,Pan-STARRS1,5,,MJD,
58486.558624947,w,,,0.0238321,,19.6486,,Pan-STARRS1,5,,MJD,
58486.5708762446,w,,,0.0281739,,19.6597,,Pan-STARRS1,5,,MJD,
58493.3576868572,w,,,0.0521967,,19.7405,,Pan-STARRS1,5,,MJD,
58493.3694886543,w,,,0.0444811,,19.7711,,Pan-STARRS1,5,,MJD,
58493.3813297303,w,,,0.0342493,,19.7769,,Pan-STARRS1,5,,MJD,
58493.393318564,w,,,0.0624384,,19.8723,,Pan-STARRS1,5,,MJD,
58508.4760526853,i,,,0.0333495,,19.4732,,Pan-STARRS1,5,,MJD,
58508.4896451967,i,,,0.0299969,,19.556,,Pan-STARRS1,5,,MJD,
58508.503242841,i,,,0.0306236,,19.5046,,Pan-STARRS1,5,,MJD,
58508.5169124347,i,,,0.0312266,,19.4782,,Pan-STARRS1,5,,MJD,
58518.262436658,w,,,0.0509348,,20.0087,,Pan-STARRS1,5,,MJD,
58518.2754008035,w,,,0.0571117,,20.0319,,Pan-STARRS1,5,,MJD,
58518.2883086874,w,,,0.0511842,,19.9803,,Pan-STARRS1,5,,MJD,
58518.3011823408,w,,,0.0547982,,20.03,,Pan-STARRS1,5,,MJD,
58634.555,G,,,0.0,,20.73,,GAIA,4,,MJD,
58634.806,G,,,0.0,,20.70,,GAIA,4,,MJD,
