time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58339.025,G,,,,,21.5,,Gaia,6,,MJD,True
58378.2569907,G,,,0.2,,19.09,,Gaia,6,,MJD,
58378.258,G,,,0.0,,19.11,,GAIA,3,,MJD,
58378.332,G,,,0.0,,19.10,,GAIA,3,,MJD,
58378.583,G,,,0.0,,19.06,,GAIA,3,,MJD,
58387.088,G,,,0.0,,18.78,,GAIA,3,,MJD,
58387.264,G,,,0.0,,18.77,,GAIA,3,,MJD,
58387.338,G,,,0.0,,18.80,,GAIA,3,,MJD,
58387.514,G,,,0.0,,18.82,,GAIA,3,,MJD,
58465.3359954,w,,,0.09,,20.54,,PS1,6,,MJD,
58465.3361604098,w,,,0.0850144,,20.5353,,Pan-STARRS1,"4,5",,MJD,
58465.3499433998,w,,,0.0950303,,20.5529,,Pan-STARRS1,"4,5",,MJD,
58465.3636731575,w,,,0.0882588,,20.5308,,Pan-STARRS1,"4,5",,MJD,
58465.3773416419,w,,,0.106639,,20.5257,,Pan-STARRS1,"4,5",,MJD,
