time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58397.2829977,r,,,,,20.24,,P48,2,,MJD,True
58397.2833,r,,,,,20.24,,P48,2,,MJD,True
58409.4079977,orange,,,,,16.67,,ATLAS1,2,,MJD,True
58417.3759954,orange,,,0.116,,17.245,,ATLAS1,2,,MJD,
58423.2139931,g,,,,,17.22,,P48,2,,MJD,
58426.2346991,r,,,0.0554995,,17.378,,P48,2,,MJD,
58426.235,r,,,,,17.38,,P48,2,,MJD,
58429.2302546,g,,,0.0449793,,17.4586,,P48,2,,MJD,
58429.2550347,r,,,0.0478509,,17.5166,,P48,2,,MJD,
58432.2434491,g,,,0.0509419,,17.6367,,P48,2,,MJD,
58432.2535995,r,,,0.0549149,,17.7724,,P48,2,,MJD,
