time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58423.125,r,,,,,18.94,,P48,2,,MJD,
58426.148831,g,,,0.111448,,18.6704,,P48,2,,MJD,
58426.1489931,g,,,,,18.67,,P48,2,,MJD,
58428.325,orange,,,,,19.16,,ATLAS1,2,,MJD,True
58429.0856829,r,,,0.111416,,19.1866,,P48,2,,MJD,
58429.169213,g,,,0.0817304,,18.7367,,P48,2,,MJD,
58430.2969907,cyan,,,0.131,,18.787,,ATLAS1,2,,MJD,
58431.1238773,g,,,0.0924769,,18.8591,,P48,2,,MJD,
58432.0859375,r,,,0.173564,,19.0918,,P48,2,,MJD,
58432.1685417,g,,,0.0960831,,18.7814,,P48,2,,MJD,
