time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58397.3978,r,,,,,20.15,,P48,1,,MJD,True
58397.3979977,r,,,,,20.15,,P48,1,,MJD,True
58423.4009954,g,,,,,18.82,,P48,1,,MJD,
58423.4014815,g,,,0.143908,,18.8201,,P48,1,,MJD,
58426.2665509,r,,,0.0832783,,18.7586,,P48,1,,MJD,
58426.3146528,g,,,0.0932125,,18.7773,,P48,1,,MJD,
58426.315,g,,,,,18.78,,P48,1,,MJD,
58428.48,orange,,,,,19.17,,ATLAS1,1,,MJD,True
58429.2348264,g,,,0.0629134,,18.5859,,P48,1,,MJD,
58429.2721296,r,,,0.0782391,,18.643,,P48,1,,MJD,
58429.4459954,cyan,,,0.069,,18.659,,ATLAS1,1,,MJD,
58432.2406944,g,,,0.0726559,,18.6335,,P48,1,,MJD,
58432.2736921,r,,,0.0977242,,18.5278,,P48,1,,MJD,
