time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58447.4154051,r,,,0.186463,,19.2001,,P48,2,,MJD,
58447.5039005,r,,,0.151037,,19.1295,,P48,2,,MJD,
58450.3825926,r,,,0.0552255,,18.1322,,P48,2,,MJD,
58497.3467186526,i,,,0.0295483,,18.6998,,Pan-STARRS1,3,,MJD,
58497.354648387,i,,,0.0290649,,18.6651,,Pan-STARRS1,3,,MJD,
58497.3625858766,i,,,0.0325112,,18.6904,,Pan-STARRS1,3,,MJD,
58497.3708209735,i,,,0.0327392,,18.661,,Pan-STARRS1,3,,MJD,
58498.351962016,i,,,0.033125,,18.6989,,Pan-STARRS1,3,,MJD,
58498.3588543827,i,,,0.025383,,18.7524,,Pan-STARRS1,3,,MJD,
58498.3654704457,i,,,0.0246173,,18.7163,,Pan-STARRS1,3,,MJD,
58498.372073495,i,,,0.0249779,,18.7043,,Pan-STARRS1,3,,MJD,
58499.4209488658,i,,,0.0428153,,18.7571,,Pan-STARRS1,3,,MJD,
58505.3673064741,i,,,0.12426,,18.8321,,Pan-STARRS1,3,,MJD,
58505.3811783441,i,,,0.0821642,,18.7095,,Pan-STARRS1,3,,MJD,
58505.3950149971,i,,,0.111137,,18.8538,,Pan-STARRS1,3,,MJD,
58505.4088840113,i,,,0.121519,,18.7363,,Pan-STARRS1,3,,MJD,
58590.2749402471,i,,,0.353926,,20.5306,,Pan-STARRS1,3,,MJD,
