time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58456.2306713,r,,,0.17326,,19.8555,,P48,2,,MJD,
58456.2513194,r,,,0.146846,,19.664,,P48,2,,MJD,
58456.4379977,orange,,,,,19.21,,ATLAS1,2,,MJD,True
58458.4109954,cyan,,,0.195,,19.13,,ATLAS1,2,,MJD,
58462.2577894,g,,,0.274444,,19.246,,P48,2,,MJD,
58466.235162,r,,,0.361411,,19.4405,,P48,2,,MJD,
58469.1706366,g,,,0.167821,,19.6707,,P48,2,,MJD,
58484.2659954,w,,,0.12,,20.68,,PS1,2,,MJD,
58484.2664422825,w,,,0.126132,,20.6692,,Pan-STARRS1,"3,4",,MJD,
58484.2664422825,w,,,0.12464,,20.685,,Pan-STARRS1,"3,4",,MJD,
58484.2814575221,w,,,0.0865578,,20.6834,,Pan-STARRS1,"3,4",,MJD,
58484.2814575221,w,,,0.0896746,,20.6906,,Pan-STARRS1,"3,4",,MJD,
58484.2940091785,w,,,0.0957137,,20.6981,,Pan-STARRS1,"3,4",,MJD,
58484.2940091785,w,,,0.0922184,,20.7074,,Pan-STARRS1,"3,4",,MJD,
58484.3065998298,w,,,0.104851,,20.6973,,Pan-STARRS1,"3,4",,MJD,
58484.3065998298,w,,,0.106718,,20.7002,,Pan-STARRS1,"3,4",,MJD,
58491.2845694831,w,,,0.0775178,,20.9374,,Pan-STARRS1,"3,4",,MJD,
58491.2979709562,w,,,0.090118,,21.0397,,Pan-STARRS1,"3,4",,MJD,
58491.311381427,w,,,0.0790326,,21.0907,,Pan-STARRS1,"3,4",,MJD,
58491.3248372349,w,,,0.0538624,,20.9527,,Pan-STARRS1,"3,4",,MJD,
