time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58455.4919907,r,,,,,20.06,,P48,1,,MJD,True
58455.4921,r,,,,,20.06,,P48,1,,MJD,True
58458.5749884,orange,,,,,19.29,,ATLAS1,1,,MJD,True
58458.6356134,C,,,,,19.58,Vega,BAO-0.6m,1,,MJD,
58460.5429977,cyan,,,0.086,,18.754,,ATLAS1,1,,MJD,
58461.5139931,r,,,,,18.13,,P48,1,,MJD,
58461.5140972,r,,,0.064083,,18.1252,,P48,1,,MJD,
58461.5140972,r,,,0.06,,18.13,,P48,1,,MJD,
58464.3021296,r,,,0.0404802,,17.3252,,P48,1,,MJD,
58464.3021296,r,,,0.04,,17.33,,P48,1,,MJD,
58464.3268634,g,,,0.0456494,,17.4951,,P48,1,,MJD,
58464.3268634,g,,,0.05,,17.5,,P48,1,,MJD,
58464.3269907,g,,,,,17.5,,P48,1,,MJD,
58466.4609836508,w,,,0.00619845,,16.8258,,Pan-STARRS1,2,,MJD,
58466.4609954,w,,,0.01,,16.83,,PS1,1,,MJD,
58466.4732731,w,,,0.00547267,,16.8612,,Pan-STARRS1,2,,MJD,
58466.4855586736,w,,,0.00853744,,16.8876,,Pan-STARRS1,2,,MJD,
58466.4978614188,w,,,0.00923074,,16.912,,Pan-STARRS1,2,,MJD,
58467.4276736,g,,,0.0741831,,16.9089,,P48,1,,MJD,
58467.4276736,g,,,0.07,,16.91,,P48,1,,MJD,
58471.2867824,r,,,0.04,,16.5,,P48,1,,MJD,
58471.2867824,r,,,0.0370812,,16.5022,,P48,1,,MJD,
58474.2949074,r,,,0.03,,16.47,,P48,1,,MJD,
58485.461458385,w,,,0.00884202,,17.2073,,Pan-STARRS1,2,,MJD,
58485.4757294363,w,,,0.0100571,,17.1925,,Pan-STARRS1,2,,MJD,
58485.4899957439,w,,,0.00616901,,17.2034,,Pan-STARRS1,2,,MJD,
58485.504241195,w,,,0.00587499,,17.1323,,Pan-STARRS1,2,,MJD,
58486.4305275087,w,,,0.00556957,,17.3138,,Pan-STARRS1,2,,MJD,
58486.4311747287,w,,,0.00617125,,17.3335,,Pan-STARRS1,2,,MJD,
58486.4433425986,w,,,0.00771558,,17.2854,,Pan-STARRS1,2,,MJD,
58486.4439875293,w,,,0.00681528,,17.3141,,Pan-STARRS1,2,,MJD,
58486.4562137829,w,,,0.00662813,,17.3111,,Pan-STARRS1,2,,MJD,
58486.4568619873,w,,,0.00694936,,17.3039,,Pan-STARRS1,2,,MJD,
58486.4691121088,w,,,0.0103103,,17.2699,,Pan-STARRS1,2,,MJD,
58486.469766689,w,,,0.0108825,,17.2723,,Pan-STARRS1,2,,MJD,
58487.4259481719,w,,,0.00892988,,17.3127,,Pan-STARRS1,2,,MJD,
58487.4394873531,w,,,0.00906801,,17.3077,,Pan-STARRS1,2,,MJD,
58487.4530383265,w,,,0.0075408,,17.3238,,Pan-STARRS1,2,,MJD,
58487.4665873759,w,,,0.0075521,,17.3233,,Pan-STARRS1,2,,MJD,
