time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58392.475,G,,,,,21.5,,Gaia,4,,MJD,True
58460.2279977,G,,,0.2,,17.82,,Gaia,4,,MJD,
58460.229,G,,,0.0,,17.83,,GAIA,2,,MJD,
58460.405,G,,,0.0,,17.79,,GAIA,2,,MJD,
58460.479,G,,,0.0,,17.83,,GAIA,2,,MJD,
58465.6629977,orange,,,,,18.26,,ATLAS1,4,,MJD,True
58473.6419907,orange,,,0.119,,17.877,,ATLAS1,4,,MJD,
58474.2565,V,,,0.1227,,17.8038,,,"3,5",,MJD,
58474.261,R,,,0.066729,,17.1669,,,"3,5",,MJD,
58476.5357523,r,,,0.07,,18.01,,P48,4,,MJD,
58476.549537,g,,,0.18,,19.26,,P48,4,,MJD,
58480.2527,V,,,,,18.8135,,,"3,5",,MJD,
58480.5273611,g,,,0.2,,19.52,,P48,4,,MJD,
58481.5330787,r,,,0.07,,18.24,,P48,4,,MJD,
58483.158,G,,,0.0,,18.56,,GAIA,2,,MJD,
58483.232,G,,,0.0,,18.57,,GAIA,2,,MJD,
58487.2286,B,,,,,18.9054,,,"3,5",,MJD,
58487.2331,V,,,,,19.4702,,,"3,5",,MJD,
58487.2377,R,,,0.051562,,17.2809,,,"3,5",,MJD,
58513.720,G,,,0.0,,19.62,,GAIA,2,,MJD,
58552.432,G,,,0.0,,20.28,,GAIA,2,,MJD,
