time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58403.3379977,G,,,,,21.5,,Gaia,2,,MJD,True
58466.3113,g,,,,,20.21,,P48,2,,MJD,True
58472.2723495,r,,,0.23,,19.46,,P48,2,,MJD,
58476.306088,r,,,0.1,,18.13,,P48,2,,MJD,
58496.4059954,orange,,,,,19.27,,ATLAS1,2,,MJD,True
58498.3769907,orange,,,0.043,,17.47,,ATLAS1,2,,MJD,
58520.505,G,,,0.2,,18.42,,Gaia,2,,MJD,
58520.506,G,,,0.0,,18.42,,GAIA,3,,MJD,
58520.580,G,,,0.0,,18.43,,GAIA,3,,MJD,
58525.0618,B,,,0.0315457,,19.7691,,,"4,5",,MJD,
58525.0618,V,,,0.0315457,,18.7825,,,"4,5",,MJD,
58525.0629,V,,,0.0196987,,18.648,,,"4,5",,MJD,
58525.9842,B,,,0.0392863,,19.7615,,,"4,5",,MJD,
58525.9853,V,,,0.0235298,,18.7229,,,"4,5",,MJD,
58525.9863,G,,,0.0142512,,18.3071,,Gaia,"4,5",,MJD,
58539.9258,B,,,0.0346556,,19.9848,,,"4,5",,MJD,
58539.9269,V,,,0.0250373,,18.9842,,,"4,5",,MJD,
58539.9279,G,,,0.0195901,,18.6653,,Gaia,"4,5",,MJD,
58546.574,G,,,0.0,,19.23,,GAIA,3,,MJD,
58574.311,G,,,0.0,,19.94,,GAIA,3,,MJD,
58620.514,G,,,0.0,,21.05,,GAIA,3,,MJD,
