time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58117.49,G,,,,,21.5,,Gaia,4,,MJD,True
58150.8929977,G,,,0.2,,18.77,,Gaia,4,,MJD,
58150.894,G,,,0.0,,18.94,,GAIA,3,,MJD,
58150.968,G,,,0.0,,18.93,,GAIA,3,,MJD,
58191.628,G,,,0.0,,19.63,,GAIA,3,,MJD,
58191.702,G,,,0.0,,19.64,,GAIA,3,,MJD,
58191.878,G,,,0.0,,19.59,,GAIA,3,,MJD,
58191.952,G,,,0.0,,19.62,,GAIA,3,,MJD,
58202.459,G,,,0.0,,19.76,,GAIA,3,,MJD,
58202.635,G,,,0.0,,19.78,,GAIA,3,,MJD,
58202.709,G,,,0.0,,19.76,,GAIA,3,,MJD,
58202.885,G,,,0.0,,19.79,,GAIA,3,,MJD,
58202.959,G,,,0.0,,19.80,,GAIA,3,,MJD,
58203.135,G,,,0.0,,19.90,,GAIA,3,,MJD,
