time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58505.635,orange,,,,,18.66,,ATLAS1,2,,MJD,True
58507.5759954,orange,,,0.162,,18.755,,ATLAS1,2,,MJD,
58522.5129977,w,,,0.04,,18.95,,PS1,2,,MJD,
58522.5132184086,w,,,0.0361745,,18.9457,,Pan-STARRS1,"3,4",,MJD,
58522.5254622203,w,,,0.0318368,,18.9353,,Pan-STARRS1,"3,4",,MJD,
58522.5376835843,w,,,0.0352765,,18.9302,,Pan-STARRS1,"3,4",,MJD,
58522.5499549397,w,,,0.0335318,,18.8938,,Pan-STARRS1,"3,4",,MJD,
58582.2893196541,w,,,0.331213,,21.1931,,Pan-STARRS1,"3,4",,MJD,
58582.3015559511,w,,,0.180054,,21.1841,,Pan-STARRS1,"3,4",,MJD,
58582.313813293,w,,,0.157696,,21.0337,,Pan-STARRS1,"3,4",,MJD,
58582.3260533972,w,,,0.21279,,21.3008,,Pan-STARRS1,"3,4",,MJD,
