time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58511.4203704,g,,,,,20.0991,,P48,2,,MJD,True
58512.5339931,orange,,,,,19.16,,ATLAS1,2,,MJD,True
58514.4589931,g,,,,,18.41,,P48,2,,MJD,True
58516.5119907,orange,,,0.108,,18.35,,ATLAS1,2,,MJD,
58523.4209954,g,,,,,17.55,,P48,2,,MJD,
58538.2475116,r,,,0.11,,17.11,,P48,2,,MJD,
58538.3139931,g,,,,,17.31,,P48,2,,MJD,
58556.3383796,g,,,0.13,,18.77,,P48,2,,MJD,
58559.2518287,r,,,0.07,,17.86,,P48,2,,MJD,
58559.3126968,g,,,0.14,,18.92,,P48,2,,MJD,
58567.2717245,g,,,0.15,,19.51,,P48,2,,MJD,
58575.2515162,g,,,0.27,,19.43,,P48,2,,MJD,
58580.2288079,r,,,0.08,,18.84,,P48,2,,MJD,
58604.2610651491,w,,,0.0298652,,19.7327,,Pan-STARRS1,3,,MJD,
58604.2869922112,w,,,0.0306895,,19.733,,Pan-STARRS1,3,,MJD,
58604.3002343508,w,,,0.0205899,,19.6759,,Pan-STARRS1,3,,MJD,
58604.3134543175,w,,,0.0282478,,19.7398,,Pan-STARRS1,3,,MJD,
