time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58514.1879977,g,,,,,19.92,,P48,2,,MJD,True
58519.5169907,G,,,,,21.5,,Gaia,2,,MJD,True
58520.3429977,orange,,,,,19.02,,ATLAS1,2,,MJD,True
58523.1309954,g,,,,,19.4,,P48,2,,MJD,
58532.3129977,orange,,,0.161,,17.352,,ATLAS1,2,,MJD,
58539.17,r,,,,,16.91,,P48,2,,MJD,
58551.2439931,G,,,0.2,,17.53,,Gaia,2,,MJD,
58551.245,G,,,0.0,,17.52,,GAIA,3,,MJD,
58551.319,G,,,0.0,,17.54,,GAIA,3,,MJD,
58570.744,G,,,0.0,,18.21,,GAIA,3,,MJD,
58669.100,G,,,0.0,,21.03,,GAIA,3,,MJD,
