time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58522.4287,g,,,,,20.41,,P48,2,,MJD,True
58529.4629977,orange,,,,,18.87,,ATLAS1,2,,MJD,True
58534.3671759,r,,,0.11,,17.85,,P48,2,,MJD,
58537.4559954,orange,,,0.095,,17.671,,ATLAS1,2,,MJD,
58538.2786921,g,,,0.09,,17.5,,P48,2,,MJD,
58618.3419907,i,,,0.18,,20.66,,PS1,2,,MJD,
58618.3423498571,i,,,0.178184,,20.6557,,Pan-STARRS1,3,,MJD,
58618.3539825445,i,,,0.156241,,20.7442,,Pan-STARRS1,3,,MJD,
58618.3656311649,i,,,0.143864,,20.6235,,Pan-STARRS1,3,,MJD,
58618.3773646272,i,,,0.179148,,20.6162,,Pan-STARRS1,3,,MJD,
