time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58526.5488,g,,,,,20.05,,P48,2,,MJD,True
58537.6679977,orange,,,,,15.66,,ATLAS1,2,,MJD,True
58538.5018056,r,,,0.17,,18.53,,P48,2,,MJD,
58538.5240278,g,,,0.1,,18.57,,P48,2,,MJD,
58541.6359954,orange,,,0.182,,18.406,,ATLAS1,2,,MJD,
58598.5589931,i,,,0.05,,20.32,,PS1,2,,MJD,
58633.4982248462,w,,,0.105154,,21.3173,,Pan-STARRS1,3,,MJD,
58633.5112946751,w,,,0.146448,,21.3433,,Pan-STARRS1,3,,MJD,
58633.5244348153,w,,,0.124918,,21.2103,,Pan-STARRS1,3,,MJD,
58633.5375532834,w,,,0.154399,,21.2822,,Pan-STARRS1,3,,MJD,
58639.4840756533,w,,,0.130416,,21.3868,,Pan-STARRS1,3,,MJD,
58639.4963465255,w,,,0.351291,,20.9845,,Pan-STARRS1,3,,MJD,
