time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58451.2689931,G,,,,,21.5,,Gaia,5,,MJD,True
58538.21,r,,,,,17.21,,P48,5,,MJD,True
58538.4709954,orange,,,,,15.9,,ATLAS1,5,,MJD,True
58541.2389931,g,,,,,18.04,,P48,5,,MJD,
58541.28,r,,,,,18.13,,P48,5,,MJD,
58542.4629977,orange,,,0.069,,18.033,,ATLAS1,5,,MJD,
58589.2472894569,i,,,0.0249753,,18.2981,,Pan-STARRS1,"2,4",,MJD,
58589.2535518418,i,,,0.023403,,18.2705,,Pan-STARRS1,"2,4",,MJD,
58589.259594589,i,,,0.0260833,,18.295,,Pan-STARRS1,"2,4",,MJD,
58589.2655295683,i,,,0.02104,,18.3207,,Pan-STARRS1,"2,4",,MJD,
58592.2619907,G,,,0.2,,18.77,,Gaia,5,,MJD,
58592.263,G,,,0.0,,18.77,,GAIA,3,,MJD,
58592.337,G,,,0.0,,18.78,,GAIA,3,,MJD,
58622.821,G,,,0.0,,19.75,,GAIA,3,,MJD,
58622.997,G,,,0.0,,19.76,,GAIA,3,,MJD,
58646.071,G,,,0.0,,20.30,,GAIA,3,,MJD,
58646.247,G,,,0.0,,20.31,,GAIA,3,,MJD,
58646.321,G,,,0.0,,20.38,,GAIA,3,,MJD,
