time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58545.9089931,G,,,,,21.5,,Gaia,2,,MJD,True
58547.4728356,r,,,,,20.7234,,P48,2,,MJD,True
58556.4247801,r,,,0.11,,19.14,,P48,2,,MJD,
58556.4555556,g,,,0.11,,19.04,,P48,2,,MJD,
58561.3379977,G,,,0.2,,17.94,,Gaia,2,,MJD,
58561.339,G,,,0.0,,17.94,,GAIA,3,,MJD,
58561.413,G,,,0.0,,17.94,,GAIA,3,,MJD,
58583.0782,B,,,0.0929371,,18.2741,,,"5,6",,MJD,
58583.0873,R,,,0.0356881,,17.7642,,,"5,6",,MJD,
58584.0862,B,,,0.09142,,17.866,,,"5,6",,MJD,
58584.0893,V,,,0.145253,,17.7147,,,"5,6",,MJD,
58584.0953,R,,,0.0360049,,17.7637,,,"5,6",,MJD,
58590.442018801,i,,,0.0678913,,18.8392,,Pan-STARRS1,4,,MJD,
58590.442018801,i,,,0.0739475,,18.85,,Pan-STARRS1,4,,MJD,
58590.4500923298,i,,,0.0826436,,18.8565,,Pan-STARRS1,4,,MJD,
58590.4500923298,i,,,0.086215,,18.8681,,Pan-STARRS1,4,,MJD,
58590.4582919739,i,,,0.0658409,,18.802,,Pan-STARRS1,4,,MJD,
58590.4582919739,i,,,0.0691413,,18.8069,,Pan-STARRS1,4,,MJD,
58590.4663793217,i,,,0.0581649,,18.7564,,Pan-STARRS1,4,,MJD,
58590.4663793217,i,,,0.0492809,,18.8042,,Pan-STARRS1,4,,MJD,
58595.4720278244,i,,,0.0229425,,18.7165,,Pan-STARRS1,4,,MJD,
58595.4720278244,i,,,0.0244202,,18.7298,,Pan-STARRS1,4,,MJD,
58602.536,G,,,0.0,,18.83,,GAIA,3,,MJD,
58602.610,G,,,0.0,,18.86,,GAIA,3,,MJD,
58624.283,G,,,0.0,,19.79,,GAIA,3,,MJD,
58645.3437478305,i,,,0.198132,,20.4494,,Pan-STARRS1,4,,MJD,
58645.3437478305,i,,,0.192558,,20.5266,,Pan-STARRS1,4,,MJD,
58645.3526634201,i,,,0.206888,,20.4922,,Pan-STARRS1,4,,MJD,
58645.3526634201,i,,,0.225771,,20.6741,,Pan-STARRS1,4,,MJD,
58645.3610171004,i,,,0.202822,,20.4979,,Pan-STARRS1,4,,MJD,
58645.3610171004,i,,,0.194654,,20.5543,,Pan-STARRS1,4,,MJD,
58645.3689046235,i,,,0.160105,,20.4085,,Pan-STARRS1,4,,MJD,
58645.3689046235,i,,,0.154098,,20.4687,,Pan-STARRS1,4,,MJD,
58660.504,G,,,0.0,,20.66,,GAIA,3,,MJD,
58672.2944209716,i,,,0.312213,,20.846,,Pan-STARRS1,4,,MJD,
58672.2944209716,i,,,0.299191,,20.9045,,Pan-STARRS1,4,,MJD,
