time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58539.395,g,,,,,19.56,,P48,2,,MJD,True
58543.5019907,g,,,,,19.83,,P48,2,,MJD,
58548.55,orange,,,,,16.16,,ATLAS1,2,,MJD,True
58556.5279977,orange,,,0.15,,18.668,,ATLAS1,2,,MJD,
58557.395,r,,,,,18.66,,P48,2,,MJD,
58609.3429977,w,,,0.08,,21,,PS1,2,,MJD,
58609.3431314095,w,,,0.0826539,,21.0002,,Pan-STARRS1,3,,MJD,
58609.3552147258,w,,,0.147443,,20.8734,,Pan-STARRS1,3,,MJD,
58609.3672862552,w,,,0.152532,,20.8872,,Pan-STARRS1,3,,MJD,
58609.379414179,w,,,0.135764,,20.9864,,Pan-STARRS1,3,,MJD,
58626.3182290662,w,,,0.160899,,21.2436,,Pan-STARRS1,3,,MJD,
58626.3295191885,w,,,0.182339,,21.0577,,Pan-STARRS1,3,,MJD,
58626.3408534602,w,,,0.222212,,21.0769,,Pan-STARRS1,3,,MJD,
58626.3521311157,w,,,0.143029,,21.3074,,Pan-STARRS1,3,,MJD,
